Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Pawny 1.2                  :    100 (  39,  33,  28),  55.5 :   +69.7,  14.0,  100.0
    Fruit 2.3                  :    100 (  51,  31,  18),  66.5 :   +75.6,  10.6,  100.0
    Marvin 3.0                 :    100 (  63,  26,  11),  76.0 :  +156.9,  11.9,  100.0
    Djinn 1.021                :    100 (  63,  30,   7),  78.0 :  +184.6,  11.0,  100.0
    Rodin 8.0                  :    100 (  69,  18,  13),  78.0 :  +192.3,  11.1,  100.0

21) Zappa Mexico II     2848.4 :   1100 (+99,=260,-741),  20.8 %

    vs.                        :  games (  +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 9                :    100 (  0,   7,  93),   3.5 :  -632.6,  14.1,    0.0
    Komodo 9.02                :    100 (  0,  13,  87),   6.5 :  -479.1,  17.3,    0.0
    Shredder 13                :    100 (  3,  11,  86),   8.5 :  -438.9,  16.5,    0.0
    Rybka 4.1                  :    100 (  6,  21,  73),  16.5 :  -299.1,  15.6,    0.0
    Senpai 2.0                 :    100 (  7,  24,  69),  19.0 :  -263.3,  13.8,    0.0
    Texel 1.07                 :    100 (  8,  19,  73),  17.5 :  -261.6,  13.2,    0.0
    iCE 3.0                    :    100 ( 12,  30,  58),  27.0 :  -232.6,  14.1,    0.0
    Arasan 20.4.1              :    100 (  5,  32,  63),  21.0 :  -232.3,  15.7,    0.0
    Hiarcs 14                  :    100 (  9,  41,  50),  29.5 :  -141.0,  14.4,    0.0
    Spike 1.4                  :    100 ( 21,  33,  46),  37.5 :   -68.2,  14.5,    0.0
    Junior 12.5.0.3            :    100 ( 28,  29,  43),  42.5 :   -18.9,  15.9,   11.8

22) Sjeng 3.0           2831.6 :   1100 (+346,=367,-387),  48.1 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (   7,  27,  66),  20.5 :  -191.2,  11.4,    0.0
    Hakkapeliitta 3.0          :    100 (  17,  28,  55),  31.0 :  -153.5,  12.1,    0.0
    Crafty 25.2                :    100 (  11,  31,  58),  26.5 :  -141.9,  12.2,    0.0
    DiscoCheck 5.2.1           :    100 (  12,  35,  53),  29.5 :  -105.9,  11.8,    0.0
    Rodent III                 :    100 (  19,  40,  41),  39.0 :   -77.6,  12.2,    0.0
    Gaviota 1.0                :    100 (  42,  31,  27),  57.5 :   -27.0,  12.4,    1.5
    Pawny 1.2                  :    100 (  38,  37,  25),  56.5 :   +42.7,  12.7,  100.0
    Fruit 2.3                  :    100 (  38,  43,  19),  59.5 :   +48.6,  12.0,  100.0
    Marvin 3.0                 :    100 (  49,  33,  18),  65.5 :  +129.9,  12.0,  100.0
    Djinn 1.021                :    100 (  61,  28,  11),  75.0 :  +157.6,  11.1,  100.0
    Rodin 8.0                  :    100 (  52,  34,  14),  69.0 :  +165.3,  11.5,  100.0

23) Pawny 1.2           2788.9 :   1100 (+294,=341,-465),  42.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (   9,  22,  69),  20.0 :  -233.8,  11.9,    0.0
    Hakkapeliitta 3.0          :    100 (  12,  25,  63),  24.5 :  -196.1,  12.4,    0.0
    Crafty 25.2                :    100 (  11,  31,  58),  26.5 :  -184.5,  12.8,    0.0
    DiscoCheck 5.2.1           :    100 (   7,  36,  57),  25.0 :  -148.5,  13.2,    0.0
    Rodent III                 :    100 (  18,  28,  54),  32.0 :  -120.3,  13.1,    0.0
    Gaviota 1.0                :    100 (  28,  33,  39),  44.5 :   -69.7,  14.0,    0.0
    Sjeng 3.0                  :    100 (  25,  37,  38),  43.5 :   -42.7,  12.7,    0.0
    Fruit 2.3                  :    100 (  30,  37,  33),  48.5 :    +5.9,  12.3,   68.4
    Marvin 3.0                 :    100 (  51,  25,  24),  63.5 :   +87.2,  11.3,  100.0
    Djinn 1.021                :    100 (  52,  33,  15),  68.5 :  +114.9,  11.1,  100.0
    Rodin 8.0                  :    100 (  51,  34,  15),  68.0 :  +122.6,  12.1,  100.0

24) Fruit 2.3           2783.0 :   1500 (+506,=470,-524),  49.4 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (  11,  22,  67),  22.0 :  -239.7,  12.8,    0.0
    Hakkapeliitta 3.0          :    100 (  11,  22,  67),  22.0 :  -202.0,  12.3,    0.0
    Crafty 25.2                :    100 (   6,  36,  58),  24.0 :  -190.4,  11.5,    0.0
    DiscoCheck 5.2.1           :    100 (  11,  39,  50),  30.5 :  -154.4,  11.4,    0.0
    Rodent III                 :    100 (  16,  37,  47),  34.5 :  -126.1,  11.5,    0.0
    Gaviota 1.0                :    100 (  18,  31,  51),  33.5 :   -75.6,  10.6,    0.0
    Sjeng 3.0                  :    100 (  19,  43,  38),  40.5 :   -48.6,  12.0,    0.0
    Pawny 1.2                  :    100 (  33,  37,  30),  51.5 :    -5.9,  12.3,   31.6
    Marvin 3.0                 :    100 (  43,  36,  21),  61.0 :   +81.3,  10.9,  100.0
    Djinn 1.021                :    100 (  50,  34,  16),  67.0 :  +109.0,   9.4,  100.0
    Rodin 8.0                  :    100 (  40,  41,  19),  60.5 :  +116.8,  10.7,  100.0
    MadChess 3.1               :    400 ( 248,  92,  60),  73.5 :  +160.2,   9.7,  100.0

25) Marvin 3.0          2701.7 :   1750 (+482,=497,-771),  41.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (   4,  20,  76),  14.0 :  -321.0,  11.1,    0.0
    Hakkapeliitta 3.0          :    100 (   3,  23,  74),  14.5 :  -283.3,  11.0,    0.0
    Crafty 25.2                :    100 (   9,  29,  62),  23.5 :  -271.7,  11.2,    0.0
    DiscoCheck 5.2.1           :    100 (  11,  25,  64),  23.5 :  -235.8,  11.0,    0.0
    Rodent III                 :    100 (  11,  27,  62),  24.5 :  -207.5,  10.9,    0.0
    Gaviota 1.0                :    100 (  11,  26,  63),  24.0 :  -156.9,  11.9,    0.0
    Sjeng 3.0                  :    100 (  18,  33,  49),  34.5 :  -129.9,  12.0,    0.0
    Pawny 1.2                  :    100 (  24,  25,  51),  36.5 :   -87.2,  11.3,    0.0
    Fruit 2.3                  :    100 (  21,  36,  43),  39.0 :   -81.3,  10.9,    0.0
    Djinn 1.021                :    150 (  53,  48,  49),  51.3 :   +27.7,   9.0,   99.9
    Rodin 8.0                  :    150 (  57,  50,  43),  54.7 :   +35.4,   9.8,  100.0
    Glass 2.0                  :     50 (  18,  17,  15),  53.0 :   +64.4,  10.4,  100.0
    MadChess 3.1               :    400 ( 189, 110, 101),  61.0 :   +78.9,   8.6,  100.0
    Rotor 0.8                  :     50 (  25,  18,   7),  68.0 :   +90.0,  10.8,  100.0
    Maverick 1.5               :     50 (  28,  10,  12),  66.0 :  +109.5,  10.9,  100.0

26) Djinn 1.021         2674.0 :   2150 (+579,=615,-956),  41.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (   3,  25,  72),  15.5 :  -348.7,  10.4,    0.0
    Hakkapeliitta 3.0          :    100 (   5,  21,  74),  15.5 :  -311.0,  10.4,    0.0
    Crafty 25.2                :    100 (   5,  14,  81),  12.0 :  -299.4,  10.6,    0.0
    DiscoCheck 5.2.1           :    100 (   7,  26,  67),  20.0 :  -263.5,  10.3,    0.0
    Rodent III                 :    100 (   4,  27,  69),  17.5 :  -235.2,  10.9,    0.0
    Gaviota 1.0                :    100 (   7,  30,  63),  22.0 :  -184.6,  11.0,    0.0
    Sjeng 3.0                  :    100 (  11,  28,  61),  25.0 :  -157.6,  11.1,    0.0
    Pawny 1.2                  :    100 (  15,  33,  52),  31.5 :  -114.9,  11.1,    0.0
    Fruit 2.3                  :    100 (  16,  34,  50),  33.0 :  -109.0,   9.4,    0.0
    Marvin 3.0                 :    150 (  49,  48,  53),  48.7 :   -27.7,   9.0,    0.1
    Rodin 8.0                  :    150 (  47,  55,  48),  49.7 :    +7.7,   8.4,   82.3
    Glass 2.0                  :     50 (  20,  18,  12),  58.0 :   +36.7,   9.8,  100.0
    MadChess 3.1               :    400 ( 159, 114, 127),  54.0 :   +51.2,   7.8,  100.0
    Rotor 0.8                  :     50 (  21,  12,  17),  54.0 :   +62.3,  10.0,  100.0
    MadChess 3.0               :    400 ( 189, 112,  99),  61.3 :   +63.0,   8.1,  100.0
    Maverick 1.5               :     50 (  21,  18,  11),  60.0 :   +81.8,   9.5,  100.0

27) Rodin 8.0           2666.3 :   2150 (+569,=623,-958),  41.0 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Ethereal 9.04              :    100 (   1,  23,  76),  12.5 :  -356.5,  11.2,    0.0
    Hakkapeliitta 3.0          :    100 (   7,  24,  69),  19.0 :  -318.8,  10.8,    0.0
    Crafty 25.2                :    100 (   5,  20,  75),  15.0 :  -307.2,  12.2,    0.0
    DiscoCheck 5.2.1           :    100 (   2,  22,  76),  13.0 :  -271.2,  10.3,    0.0
    Rodent III                 :    100 (  10,  18,  72),  19.0 :  -242.9,  11.5,    0.0
    Gaviota 1.0                :    100 (  13,  18,  69),  22.0 :  -192.3,  11.1,    0.0
    Sjeng 3.0                  :    100 (  14,  34,  52),  31.0 :  -165.3,  11.5,    0.0
    Pawny 1.2                  :    100 (  15,  34,  51),  32.0 :  -122.6,  12.1,    0.0
    Fruit 2.3                  :    100 (  19,  41,  40),  39.5 :  -116.8,  10.7,    0.0
    Marvin 3.0                 :    150 (  43,  50,  57),  45.3 :   -35.4,   9.8,    0.0
    Djinn 1.021                :    150 (  48,  55,  47),  50.3 :    -7.7,   8.4,   17.7
    Glass 2.0                  :     50 (  15,  19,  16),  49.0 :   +29.0,   9.8,   99.8
    MadChess 3.1               :    400 ( 159, 110, 131),  53.5 :   +43.4,   7.1,  100.0
    Rotor 0.8                  :     50 (  19,  21,  10),  59.0 :   +54.6,   8.5,  100.0
    MadChess 3.0               :    400 ( 175, 117, 108),  58.4 :   +55.3,   7.9,  100.0
    Maverick 1.5               :     50 (  24,  17,   9),  65.0 :   +74.1,   8.9,  100.0

28) Glass 2.0           2637.3 :   2150 (+1024,=550,-576),  60.4 %

    vs.                        :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Marvin 3.0                 :     50 (   15,  17,  18),  47.0 :   -64.4,  10.4,    0.0
    Djinn 1.021                :     50 (   12,  18,  20),  42.0 :   -36.7,   9.8,    0.0
    Rodin 8.0                  :     50 (   16,  19,  15),  51.0 :   -29.0,   9.8,    0.2
    MadChess 3.1               :    400 (  154,  99, 147),  50.9 :   +14.5,   8.3,   95.8
    Rotor 0.8                  :    150 (   46,  58,  46),  50.0 :   +25.6,   8.9,   99.8
    MadChess 3.0               :    400 (  161, 103, 136),  53.1 :   +26.3,   7.4,  100.0
    Floyd 0.9                  :    100 (   43,  22,  35),  54.0 :   +40.7,   8.0,  100.0
    Maverick 1.5               :    150 (   77,  36,  37),  63.3 :   +45.1,   8.3,  100.0
    Schooner 1.8               :    100 (   59,  24,  17),  71.0 :  +110.0,   8.3,  100.0
    LittleThought 1.052        :    100 (   58,  18,  24),  67.0 :  +152.5,   9.1,  100.0
    Ghost 3.1                  :    100 (   57,  20,  23),  67.0 :  +163.7,   9.4,  100.0
    MadChess 2.2               :    100 (   64,  26,  10),  77.0 :  +180.6,  10.5,  100.0
    Bumblebee 1.0              :    100 (   70,  19,  11),  79.5 :  +188.4,  10.7,  100.0
    Orion 0.4                  :    100 (   55,  28,  17),  69.0 :  +202.7,   9.3,  100.0
    Gaia 3.5                   :    100 (   65,  21,  14),  75.5 :  +204.9,   9.2,  100.0
    GreKo 6.5                  :    100 (   72,  22,   6),  83.0 :  +264.3,   9.8,  100.0

29) MadChess 3.1        2622.8 :   4000 (+1439,=1070,-1491),  49.4 %

    vs.                        :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Fruit 2.3                  :    400 (   60,   92,  248),  26.5 :  -160.2,   9.7,    0.0
    Marvin 3.0                 :    400 (  101,  110,  189),  39.0 :   -78.9,   8.6,    0.0
    Djinn 1.021                :    400 (  127,  114,  159),  46.0 :   -51.2,   7.8,    0.0
    Rodin 8.0                  :    400 (  131,  110,  159),  46.5 :   -43.4,   7.1,    0.0
    Glass 2.0                  :    400 (  147,   99,  154),  49.1 :   -14.5,   8.3,    4.2
    Rotor 0.8                  :    400 (  151,  118,  131),  52.5 :   +11.1,   8.1,   91.6
    Floyd 0.9                  :    400 (  149,  110,  141),  51.0 :   +26.2,   8.1,   99.9
    Maverick 1.5               :    400 (  151,  114,  135),  52.0 :   +30.6,   7.7,  100.0
    Schooner 1.8               :    400 (  191,  121,   88),  62.9 :   +95.5,   7.5,  100.0
    LittleThought 1.052        :    400 (  231,   82,   87),  68.0 :  +138.1,   8.7,  100.0

30) Rotor 0.8           2611.7 :   2150 (+917,=609,-624),  56.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Marvin 3.0                 :     50 (   7,  18,  25),  32.0 :   -90.0,  10.8,    0.0
    Djinn 1.021                :     50 (  17,  12,  21),  46.0 :   -62.3,  10.0,    0.0
    Rodin 8.0                  :     50 (  10,  21,  19),  41.0 :   -54.6,   8.5,    0.0
    Glass 2.0                  :    150 (  46,  58,  46),  50.0 :   -25.6,   8.9,    0.2
    MadChess 3.1               :    400 ( 131, 118, 151),  47.5 :   -11.1,   8.1,    8.4
    MadChess 3.0               :    400 ( 130, 121, 149),  47.6 :    +0.7,   7.4,   53.9
    Floyd 0.9                  :    100 (  38,  30,  32),  53.0 :   +15.1,   9.2,   94.9
    Maverick 1.5               :    150 (  52,  41,  57),  48.3 :   +19.5,   7.8,   99.4
    Schooner 1.8               :    100 (  39,  37,  24),  57.5 :   +84.4,   8.4,  100.0
    LittleThought 1.052        :    100 (  63,  21,  16),  73.5 :  +127.0,   9.2,  100.0
    Ghost 3.1                  :    100 (  61,  20,  19),  71.0 :  +138.1,   9.4,  100.0
    MadChess 2.2               :    100 (  62,  23,  15),  73.5 :  +155.0,  11.4,  100.0
    Bumblebee 1.0              :    100 (  68,  22,  10),  79.0 :  +162.8,  10.5,  100.0
    Orion 0.4                  :    100 (  69,  19,  12),  78.5 :  +177.1,   9.2,  100.0
    Gaia 3.5                   :    100 (  61,  23,  16),  72.5 :  +179.3,  10.0,  100.0
    GreKo 6.5                  :    100 (  63,  25,  12),  75.5 :  +238.8,  10.8,  100.0

31) MadChess 3.0        2611.0 :   4000 (+1666,=1083,-1251),  55.2 %

    vs.                        :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Djinn 1.021                :    400 (   99,  112,  189),  38.8 :   -63.0,   8.1,    0.0
    Rodin 8.0                  :    400 (  108,  117,  175),  41.6 :   -55.3,   7.9,    0.0
    Glass 2.0                  :    400 (  136,  103,  161),  46.9 :   -26.3,   7.4,    0.0
    Rotor 0.8                  :    400 (  149,  121,  130),  52.4 :    -0.7,   7.4,   46.1
    Floyd 0.9                  :    400 (  140,  123,  137),  50.4 :   +14.4,   7.6,   97.0
    Maverick 1.5               :    400 (  151,  111,  138),  51.6 :   +18.8,   7.4,   99.4
    Schooner 1.8               :    400 (  187,  118,   95),  61.5 :   +83.7,   7.3,  100.0
    LittleThought 1.052        :    400 (  221,   92,   87),  66.8 :  +126.2,   7.2,  100.0
    Ghost 3.1                  :    400 (  246,   75,   79),  70.9 :  +137.4,   8.3,  100.0
    Winter 0.1.1               :    400 (  229,  111,   60),  71.1 :  +152.1,  11.4,  100.0

32) Floyd 0.9           2596.6 :   1900 (+824,=495,-581),  56.4 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  35,  22,  43),  46.0 :   -40.7,   8.0,    0.0
    MadChess 3.1               :    400 ( 141, 110, 149),  49.0 :   -26.2,   8.1,    0.1
    Rotor 0.8                  :    100 (  32,  30,  38),  47.0 :   -15.1,   9.2,    5.1
    MadChess 3.0               :    400 ( 137, 123, 140),  49.6 :   -14.4,   7.6,    3.0
    Maverick 1.5               :    100 (  36,  30,  34),  51.0 :    +4.4,   8.6,   69.8
    Schooner 1.8               :    100 (  50,  22,  28),  61.0 :   +69.3,   8.7,  100.0
    LittleThought 1.052        :    100 (  48,  23,  29),  59.5 :  +111.9,   8.6,  100.0
    Ghost 3.1                  :    100 (  54,  25,  21),  66.5 :  +123.0,  10.1,  100.0
    MadChess 2.2               :    100 (  53,  28,  19),  67.0 :  +139.9,  10.5,  100.0
    Bumblebee 1.0              :    100 (  57,  27,  16),  70.5 :  +147.7,  11.2,  100.0
    Orion 0.4                  :    100 (  58,  23,  19),  69.5 :  +162.0,   9.5,  100.0
    Gaia 3.5                   :    100 (  55,  16,  29),  63.0 :  +164.3,  10.3,  100.0
    GreKo 6.5                  :    100 (  68,  16,  16),  76.0 :  +223.7,  10.4,  100.0

33) Maverick 1.5        2592.2 :   2150 (+876,=571,-703),  54.0 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Marvin 3.0                 :     50 (  12,  10,  28),  34.0 :  -109.5,  10.9,    0.0
    Djinn 1.021                :     50 (  11,  18,  21),  40.0 :   -81.8,   9.5,    0.0
    Rodin 8.0                  :     50 (   9,  17,  24),  35.0 :   -74.1,   8.9,    0.0
    Glass 2.0                  :    150 (  37,  36,  77),  36.7 :   -45.1,   8.3,    0.0
    MadChess 3.1               :    400 ( 135, 114, 151),  48.0 :   -30.6,   7.7,    0.0
    Rotor 0.8                  :    150 (  57,  41,  52),  51.7 :   -19.5,   7.8,    0.6
    MadChess 3.0               :    400 ( 138, 111, 151),  48.4 :   -18.8,   7.4,    0.6
    Floyd 0.9                  :    100 (  34,  30,  36),  49.0 :    -4.4,   8.6,   30.2
    Schooner 1.8               :    100 (  42,  31,  27),  57.5 :   +64.9,   8.6,  100.0
    LittleThought 1.052        :    100 (  54,  28,  18),  68.0 :  +107.4,   8.7,  100.0
    Ghost 3.1                  :    100 (  58,  22,  20),  69.0 :  +118.6,   9.1,  100.0
    MadChess 2.2               :    100 (  59,  22,  19),  70.0 :  +135.5,  10.9,  100.0
    Bumblebee 1.0              :    100 (  47,  32,  21),  63.0 :  +143.3,  10.8,  100.0
    Orion 0.4                  :    100 (  56,  20,  24),  66.0 :  +157.6,   9.8,  100.0
    Gaia 3.5                   :    100 (  63,  16,  21),  71.0 :  +159.8,   9.1,  100.0
    GreKo 6.5                  :    100 (  64,  23,  13),  75.5 :  +219.2,   9.8,  100.0

34) Schooner 1.8        2527.3 :   1900 (+620,=530,-750),  46.6 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  17,  24,  59),  29.0 :  -110.0,   8.3,    0.0
    MadChess 3.1               :    400 (  88, 121, 191),  37.1 :   -95.5,   7.5,    0.0
    Rotor 0.8                  :    100 (  24,  37,  39),  42.5 :   -84.4,   8.4,    0.0
    MadChess 3.0               :    400 (  95, 118, 187),  38.5 :   -83.7,   7.3,    0.0
    Floyd 0.9                  :    100 (  28,  22,  50),  39.0 :   -69.3,   8.7,    0.0
    Maverick 1.5               :    100 (  27,  31,  42),  42.5 :   -64.9,   8.6,    0.0
    LittleThought 1.052        :    100 (  43,  29,  28),  57.5 :   +42.6,   9.3,  100.0
    Ghost 3.1                  :    100 (  49,  17,  34),  57.5 :   +53.7,  10.4,  100.0
    MadChess 2.2               :    100 (  48,  26,  26),  61.0 :   +70.6,  10.9,  100.0
    Bumblebee 1.0              :    100 (  43,  30,  27),  58.0 :   +78.4,  11.6,  100.0
    Orion 0.4                  :    100 (  47,  30,  23),  62.0 :   +92.7,   9.2,  100.0
    Gaia 3.5                   :    100 (  48,  25,  27),  60.5 :   +95.0,  10.9,  100.0
    GreKo 6.5                  :    100 (  63,  20,  17),  73.0 :  +154.4,  11.0,  100.0

35) LittleThought 1.052 2484.8 :   1900 (+551,=442,-907),  40.6 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  24,  18,  58),  33.0 :  -152.5,   9.1,    0.0
    MadChess 3.1               :    400 (  87,  82, 231),  32.0 :  -138.1,   8.7,    0.0
    Rotor 0.8                  :    100 (  16,  21,  63),  26.5 :  -127.0,   9.2,    0.0
    MadChess 3.0               :    400 (  87,  92, 221),  33.3 :  -126.2,   7.2,    0.0
    Floyd 0.9                  :    100 (  29,  23,  48),  40.5 :  -111.9,   8.6,    0.0
    Maverick 1.5               :    100 (  18,  28,  54),  32.0 :  -107.4,   8.7,    0.0
    Schooner 1.8               :    100 (  28,  29,  43),  42.5 :   -42.6,   9.3,    0.0
    Ghost 3.1                  :    100 (  37,  27,  36),  50.5 :   +11.1,  10.3,   85.9
    MadChess 2.2               :    100 (  42,  26,  32),  55.0 :   +28.0,  11.3,   99.3
    Bumblebee 1.0              :    100 (  48,  20,  32),  58.0 :   +35.9,  11.2,   99.9
    Orion 0.4                  :    100 (  37,  28,  35),  51.0 :   +50.1,   8.7,  100.0
    Gaia 3.5                   :    100 (  51,  23,  26),  62.5 :   +52.4,  10.6,  100.0
    GreKo 6.5                  :    100 (  47,  25,  28),  59.5 :  +111.8,  10.8,  100.0

36) Ghost 3.1           2473.6 :   1500 (+459,=329,-712),  41.6 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  23,  20,  57),  33.0 :  -163.7,   9.4,    0.0
    Rotor 0.8                  :    100 (  19,  20,  61),  29.0 :  -138.1,   9.4,    0.0
    MadChess 3.0               :    400 (  79,  75, 246),  29.1 :  -137.4,   8.3,    0.0
    Floyd 0.9                  :    100 (  21,  25,  54),  33.5 :  -123.0,  10.1,    0.0
    Maverick 1.5               :    100 (  20,  22,  58),  31.0 :  -118.6,   9.1,    0.0
    Schooner 1.8               :    100 (  34,  17,  49),  42.5 :   -53.7,  10.4,    0.0
    LittleThought 1.052        :    100 (  36,  27,  37),  49.5 :   -11.1,  10.3,   14.1
    MadChess 2.2               :    100 (  36,  27,  37),  49.5 :   +16.9,  11.6,   92.7
    Bumblebee 1.0              :    100 (  49,  23,  28),  60.5 :   +24.7,  12.0,   98.0
    Orion 0.4                  :    100 (  38,  27,  35),  51.5 :   +39.0,  10.8,  100.0
    Gaia 3.5                   :    100 (  46,  26,  28),  59.0 :   +41.3,  10.3,  100.0
    GreKo 6.5                  :    100 (  58,  20,  22),  68.0 :  +100.7,  10.2,  100.0

37) Winter 0.1.1        2458.9 :   1750 (+1013,=338,-399),  67.5 %

    vs.                        :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.0               :    400 (   60, 111, 229),  28.9 :  -152.1,  11.4,    0.0
    Orion 0.4                  :     50 (   27,  12,  11),  66.0 :   +24.3,  11.9,   97.9
    Gaia 3.5                   :     50 (   24,  12,  14),  60.0 :   +26.6,  12.5,   98.3
    Myrddin 0.87               :    150 (   77,  29,  44),  61.0 :   +70.6,  13.5,  100.0
    GreKo 6.5                  :     50 (   26,  12,  12),  64.0 :   +86.0,  13.1,  100.0
    Sungorus 1.4               :    150 (   87,  30,  33),  68.0 :  +148.9,  10.7,  100.0
    Waxman 2017                :    100 (   71,  19,  10),  80.5 :  +205.4,  13.6,  100.0
    Zevra 1.8.4                :    100 (   70,  20,  10),  80.0 :  +230.2,  12.6,  100.0
    Napoleon 1.8               :    100 (   70,  21,   9),  80.5 :  +249.1,  13.7,  100.0
    Galjoen 0.37.2             :    100 (   73,  17,  10),  81.5 :  +288.3,  13.4,  100.0
    BikJump 2.01               :    100 (   79,  15,   6),  86.5 :  +349.5,  14.9,  100.0
    Monarch 1.7                :    100 (   82,  12,   6),  88.0 :  +410.5,  14.3,  100.0
    Gerbil 02                  :    100 (   88,   9,   3),  92.5 :  +475.1,  16.2,  100.0
    Faile 1.4                  :    100 (   83,  15,   2),  90.5 :  +478.1,  14.1,  100.0
    TSCP 1.81                  :    100 (   96,   4,   0),  98.0 :  +702.9,  17.5,  100.0

38) MadChess 2.2        2456.7 :   1100 (+336,=270,-494),  42.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  10,  26,  64),  23.0 :  -180.6,  10.5,    0.0
    Rotor 0.8                  :    100 (  15,  23,  62),  26.5 :  -155.0,  11.4,    0.0
    Floyd 0.9                  :    100 (  19,  28,  53),  33.0 :  -139.9,  10.5,    0.0
    Maverick 1.5               :    100 (  19,  22,  59),  30.0 :  -135.5,  10.9,    0.0
    Schooner 1.8               :    100 (  26,  26,  48),  39.0 :   -70.6,  10.9,    0.0
    LittleThought 1.052        :    100 (  32,  26,  42),  45.0 :   -28.0,  11.3,    0.7
    Ghost 3.1                  :    100 (  37,  27,  36),  50.5 :   -16.9,  11.6,    7.3
    Bumblebee 1.0              :    100 (  30,  23,  47),  41.5 :    +7.8,  13.4,   72.1
    Orion 0.4                  :    100 (  51,  26,  23),  64.0 :   +22.1,  11.3,   97.4
    Gaia 3.5                   :    100 (  46,  22,  32),  57.0 :   +24.4,  11.5,   98.3
    GreKo 6.5                  :    100 (  51,  21,  28),  61.5 :   +83.8,  12.0,  100.0

39) Bumblebee 1.0       2448.9 :   1100 (+321,=275,-504),  41.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  11,  19,  70),  20.5 :  -188.4,  10.7,    0.0
    Rotor 0.8                  :    100 (  10,  22,  68),  21.0 :  -162.8,  10.5,    0.0
    Floyd 0.9                  :    100 (  16,  27,  57),  29.5 :  -147.7,  11.2,    0.0
    Maverick 1.5               :    100 (  21,  32,  47),  37.0 :  -143.3,  10.8,    0.0
    Schooner 1.8               :    100 (  27,  30,  43),  42.0 :   -78.4,  11.6,    0.0
    LittleThought 1.052        :    100 (  32,  20,  48),  42.0 :   -35.9,  11.2,    0.1
    Ghost 3.1                  :    100 (  28,  23,  49),  39.5 :   -24.7,  12.0,    2.0
    MadChess 2.2               :    100 (  47,  23,  30),  58.5 :    -7.8,  13.4,   27.9
    Orion 0.4                  :    100 (  29,  38,  33),  48.0 :   +14.3,  11.6,   89.1
    Gaia 3.5                   :    100 (  45,  18,  37),  54.0 :   +16.5,  11.9,   91.7
    GreKo 6.5                  :    100 (  55,  23,  22),  66.5 :   +75.9,  12.2,  100.0

40) Orion 0.4           2434.6 :   1350 (+394,=363,-593),  42.6 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Glass 2.0                  :    100 (  17,  28,  55),  31.0 :  -202.7,   9.3,    0.0
    Rotor 0.8                  :    100 (  12,  19,  69),  21.5 :  -177.1,   9.2,    0.0
    Floyd 0.9                  :    100 (  19,  23,  58),  30.5 :  -162.0,   9.5,    0.0
    Maverick 1.5               :    100 (  24,  20,  56),  34.0 :  -157.6,   9.8,    0.0
    Schooner 1.8               :    100 (  23,  30,  47),  38.0 :   -92.7,   9.2,    0.0
    LittleThought 1.052        :    100 (  35,  28,  37),  49.0 :   -50.1,   8.7,    0.0
    Ghost 3.1                  :    100 (  35,  27,  38),  48.5 :   -39.0,  10.8,    0.0
    Winter 0.1.1               :     50 (  11,  12,  27),  34.0 :   -24.3,  11.9,    2.1
    MadChess 2.2               :    100 (  23,  26,  51),  36.0 :   -22.1,  11.3,    2.6
