Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Rybka 4.1                  :    100 (  54,  41,   5),  74.5 :  +139.8,  12.9,  100.0
    Senpai 2.0                 :    100 (  48,  49,   3),  72.5 :  +175.7,  11.3,  100.0
    Texel 1.07                 :    100 (  57,  35,   8),  74.5 :  +177.3,  11.9,  100.0
    iCE 3.0                    :    100 (  61,  36,   3),  79.0 :  +206.3,  10.7,  100.0
    Arasan 20.4.1              :    100 (  59,  37,   4),  77.5 :  +206.7,  11.9,  100.0
    Hiarcs 14                  :    100 (  70,  28,   2),  84.0 :  +298.0,  12.2,  100.0
    Spike 1.4                  :    100 (  81,  18,   1),  90.0 :  +370.7,  13.3,  100.0
    Junior 12.5.0.3            :    100 (  89,  11,   0),  94.5 :  +420.1,  15.0,  100.0
    Zappa Mexico II            :    100 (  86,  11,   3),  91.5 :  +438.9,  16.5,  100.0

 7) Rybka 4.1           3147.5 :   1400 (+419,=441,-540),  45.7 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   9,  91),   4.5 :  -548.8,  18.6,    0.0
    Komodo Dragon 2            :    100 (   0,  13,  87),   6.5 :  -491.9,  17.6,    0.0
    Ethereal 13.00             :    100 (   2,  22,  76),  13.0 :  -348.0,  15.8,    0.0
    Stockfish 9                :    100 (   0,  20,  80),  10.0 :  -333.5,  12.0,    0.0
    Komodo 9.02                :    100 (   5,  43,  52),  26.5 :  -180.0,  15.1,    0.0
    Shredder 13                :    100 (   5,  41,  54),  25.5 :  -139.8,  12.9,    0.0
    Senpai 2.0                 :    100 (  34,  49,  17),  58.5 :   +35.9,  12.9,   99.7
    Texel 1.07                 :    100 (  39,  43,  18),  60.5 :   +37.5,  12.4,   99.9
    iCE 3.0                    :    100 (  36,  48,  16),  60.0 :   +66.5,  12.0,  100.0
    Arasan 20.4.1              :    100 (  29,  44,  27),  51.0 :   +66.9,  11.6,  100.0
    Hiarcs 14                  :    100 (  51,  38,  11),  70.0 :  +158.1,  12.9,  100.0
    Spike 1.4                  :    100 (  72,  25,   3),  84.5 :  +230.9,  14.1,  100.0
    Junior 12.5.0.3            :    100 (  73,  25,   2),  85.5 :  +280.3,  13.2,  100.0
    Zappa Mexico II            :    100 (  73,  21,   6),  83.5 :  +299.1,  15.6,  100.0

 8) Senpai 2.0          3111.6 :   1650 (+466,=548,-636),  44.8 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    100 (   0,   4,  96),   2.0 :  -584.7,  17.6,    0.0
    Komodo Dragon 2            :    100 (   1,   7,  92),   4.5 :  -527.7,  16.4,    0.0
    Ethereal 13.00             :    100 (   0,  19,  81),   9.5 :  -383.8,  15.4,    0.0
    Stockfish 9                :    100 (   1,  24,  75),  13.0 :  -369.4,   9.9,    0.0
    Komodo 9.02                :    100 (   7,  30,  63),  22.0 :  -215.8,  13.3,    0.0
    Shredder 13                :    100 (   3,  49,  48),  27.5 :  -175.7,  11.3,    0.0
    Rybka 4.1                  :    100 (  17,  49,  34),  41.5 :   -35.9,  12.9,    0.3
    Texel 1.07                 :    100 (  24,  52,  24),  50.0 :    +1.6,  10.9,   56.0
    iCE 3.0                    :    150 (  42,  76,  32),  53.3 :   +30.6,   9.9,   99.9
    Arasan 20.4.1              :    150 (  48,  66,  36),  54.0 :   +31.0,  11.3,   99.7
    Ethereal 9.04              :     50 (  22,  21,   7),  65.0 :   +88.9,  12.7,  100.0
    Hiarcs 14                  :    100 (  51,  42,   7),  72.0 :  +122.3,  12.1,  100.0
    Hakkapeliitta 3.0          :     50 (  27,  17,   6),  71.0 :  +126.6,  12.1,  100.0
    Crafty 25.2                :     50 (  29,  14,   7),  72.0 :  +138.2,  12.8,  100.0
