Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Berserk 13                :    200 (   3,  161,  36),  41.8 :   -77.7,   7.3,    0.0
    RubiChess 20240817        :    200 (   4,  170,  26),  44.5 :   -39.0,   7.3,    0.0
    Ethereal 14.25            :    200 (   7,  173,  20),  46.8 :   -29.8,   7.1,    0.0
    rofChade 3.1              :    200 (  14,  183,   3),  52.8 :   +11.4,   7.2,   94.3
    Koivisto 9.0              :    200 (  21,  170,   9),  53.0 :   +11.7,   7.0,   95.2
    SlowChess 2.9             :    200 (  40,  156,   4),  59.0 :   +69.2,   7.2,  100.0
    Arasan 24.2.2             :    200 (  38,  160,   2),  59.0 :   +72.5,   6.5,  100.0
    Minic 3.41                :    200 (  51,  148,   1),  62.5 :  +103.6,   6.2,  100.0
    Wasp 7.00                 :    200 (  70,  129,   1),  67.3 :  +133.9,   6.7,  100.0

 7) rofChade 3.1       3643.6 :   2200 (+224,=1707,-269),  49.0 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  134,  66),  33.5 :  -125.3,   7.8,    0.0
    Komodo Dragon 3.3         :    200 (   0,  149,  51),  37.3 :   -97.6,   7.5,    0.0
    Berserk 13                :    200 (   0,  155,  45),  38.8 :   -89.0,   7.6,    0.0
    RubiChess 20240817        :    200 (   8,  165,  27),  45.3 :   -50.3,   7.9,    0.0
    Ethereal 14.25            :    200 (   4,  176,  20),  46.0 :   -41.2,   7.5,    0.0
    Rebel 16.3                :    200 (   3,  183,  14),  47.3 :   -11.4,   7.2,    5.7
    Koivisto 9.0              :    200 (  10,  177,  13),  49.3 :    +0.3,   7.5,   51.6
    SlowChess 2.9             :    200 (  35,  150,  15),  55.0 :   +57.8,   7.7,  100.0
    Arasan 24.2.2             :    200 (  43,  147,  10),  58.3 :   +61.1,   7.0,  100.0
    Minic 3.41                :    200 (  52,  145,   3),  62.3 :   +92.3,   6.8,  100.0
    Wasp 7.00                 :    200 (  69,  126,   5),  66.0 :  +122.5,   7.2,  100.0

 8) Koivisto 9.0       3643.3 :   2200 (+244,=1665,-291),  48.9 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   2,  118,  80),  30.5 :  -125.6,   8.0,    0.0
    Komodo Dragon 3.3         :    200 (   1,  141,  58),  35.8 :   -97.9,   7.6,    0.0
    Berserk 13                :    200 (   0,  148,  52),  37.0 :   -89.3,   7.9,    0.0
    RubiChess 20240817        :    200 (   6,  165,  29),  44.3 :   -50.6,   7.8,    0.0
    Ethereal 14.25            :    200 (   4,  170,  26),  44.5 :   -41.5,   7.4,    0.0
    Rebel 16.3                :    200 (   9,  170,  21),  47.0 :   -11.7,   7.0,    4.8
    rofChade 3.1              :    200 (  13,  177,  10),  50.8 :    -0.3,   7.5,   48.4
    SlowChess 2.9             :    200 (  36,  162,   2),  58.5 :   +57.5,   7.5,  100.0
    Arasan 24.2.2             :    200 (  37,  156,   7),  57.5 :   +60.8,   7.1,  100.0
    Minic 3.41                :    200 (  57,  141,   2),  63.8 :   +92.0,   7.2,  100.0
    Wasp 7.00                 :    200 (  79,  117,   4),  68.8 :  +122.2,   7.5,  100.0

 9) SlowChess 2.9      3585.8 :   2200 (+124,=1533,-543),  40.5 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  107,  93),  26.8 :  -183.1,   8.0,    0.0
    Komodo Dragon 3.3         :    200 (   1,  112,  87),  28.5 :  -155.4,   7.9,    0.0
    Berserk 13                :    200 (   0,  109,  91),  27.3 :  -146.8,   8.1,    0.0
    RubiChess 20240817        :    200 (   2,  143,  55),  36.8 :  -108.2,   7.7,    0.0
    Ethereal 14.25            :    200 (   1,  146,  53),  37.0 :   -99.0,   7.7,    0.0
    Rebel 16.3                :    200 (   4,  156,  40),  41.0 :   -69.2,   7.2,    0.0
    rofChade 3.1              :    200 (  15,  150,  35),  45.0 :   -57.8,   7.7,    0.0
    Koivisto 9.0              :    200 (   2,  162,  36),  41.5 :   -57.5,   7.5,    0.0
    Arasan 24.2.2             :    200 (  18,  157,  25),  48.3 :    +3.3,   7.2,   67.6
    Minic 3.41                :    200 (  38,  152,  10),  57.0 :   +34.5,   7.2,  100.0
    Wasp 7.00                 :    200 (  43,  139,  18),  56.3 :   +64.7,   7.5,  100.0

10) Arasan 24.2.2      3582.5 :   3200 (+486,=2100,-614),  48.0 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,   97, 103),  24.3 :  -186.4,   7.3,    0.0
    Komodo Dragon 3.3         :    200 (   1,  108,  91),  27.5 :  -158.7,   7.1,    0.0
    Berserk 13                :    200 (   1,  117,  82),  29.8 :  -150.1,   7.1,    0.0
    RubiChess 20240817        :    200 (   6,  138,  56),  37.5 :  -111.5,   7.2,    0.0
    Ethereal 14.25            :    200 (   5,  141,  54),  37.8 :  -102.3,   7.2,    0.0
    Rebel 16.3                :    200 (   2,  160,  38),  41.0 :   -72.5,   6.5,    0.0
    rofChade 3.1              :    200 (  10,  147,  43),  41.8 :   -61.1,   7.0,    0.0
    Koivisto 9.0              :    200 (   7,  156,  37),  42.5 :   -60.8,   7.1,    0.0
    SlowChess 2.9             :    200 (  25,  157,  18),  51.8 :    -3.3,   7.2,   32.4
    Minic 3.41                :    400 (  74,  287,  39),  54.4 :   +31.2,   6.3,  100.0
    Wasp 7.00                 :    400 (  84,  290,  26),  57.3 :   +61.4,   6.3,  100.0
    Texel 1.11                :    200 (  39,  150,  11),  57.0 :   +67.7,   8.1,  100.0
    Hiarcs 15.3.1             :    200 (  78,  107,  15),  65.8 :  +125.1,   7.7,  100.0
    Shredder 13               :    200 ( 154,   45,   1),  88.3 :  +354.5,   7.8,  100.0

