Head to head statistics:

 1) Stockfish 16.1     3768.9 :   2200 (+759,=1432,-9),  67.0 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Demolito 20211004         :    200 (  12,   48,  140),  18.0 :  -220.0,   7.9,    0.0
    iCE 4.0                   :    200 (  20,   84,   96),  31.0 :  -159.3,   6.1,    0.0
    Weiss 1.3                 :    200 (  19,   70,  111),  27.0 :  -159.1,   7.7,    0.0
    Senpai 2.0                :    200 (  31,   58,  111),  30.0 :  -143.6,   7.7,    0.0
    Orion 1.0                 :    200 (  43,   71,   86),  39.3 :  -110.7,   7.7,    0.0
    Rodent 4                  :    200 (  50,   80,   70),  45.0 :   -23.7,   7.6,    0.1
    Spike 1.4                 :    400 ( 113,  191,   96),  52.1 :   +17.0,   6.4,   99.6
    Gaviota 1.0               :    400 ( 177,  129,   94),  60.4 :   +55.1,   6.5,  100.0
    Dumb 2.1                  :    200 (  89,   68,   43),  61.5 :  +112.3,   7.1,  100.0
    Sjeng 3.0                 :    200 ( 112,   65,   23),  72.3 :  +125.7,   7.0,  100.0
    Pawny 1.2                 :    200 ( 117,   62,   21),  74.0 :  +178.2,   7.0,  100.0

23) Spike 1.4          2963.8 :   3200 (+688,=1077,-1435),  38.3 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,   18,  182),   4.5 :  -551.0,   8.6,    0.0
    Hiarcs 15.3.1             :    200 (   0,   20,  180),   5.0 :  -493.7,   8.0,    0.0
    Shredder 13               :    200 (   3,   57,  140),  15.8 :  -264.3,   7.5,    0.0
    Demolito 20211004         :    200 (   3,   74,  123),  20.0 :  -237.0,   7.6,    0.0
    iCE 4.0                   :    200 (  18,   72,  110),  27.0 :  -176.2,   6.2,    0.0
    Weiss 1.3                 :    200 (  18,   75,  107),  27.8 :  -176.1,   7.5,    0.0
    Senpai 2.0                :    200 (  16,   65,  119),  24.3 :  -160.6,   7.9,    0.0
    Orion 1.0                 :    200 (  28,   78,   94),  33.5 :  -127.6,   8.0,    0.0
    Rodent 4                  :    200 (  50,   97,   53),  49.3 :   -40.7,   7.9,    0.0
    Crafty 25.3               :    400 (  96,  191,  113),  47.9 :   -17.0,   6.4,    0.4
    Gaviota 1.0               :    400 ( 141,  153,  106),  54.4 :   +38.1,   6.4,  100.0
    Dumb 2.1                  :    200 (  92,   60,   48),  61.0 :   +95.3,   7.1,  100.0
    Sjeng 3.0                 :    200 ( 106,   54,   40),  66.5 :  +108.7,   7.0,  100.0
    Pawny 1.2                 :    200 ( 117,   63,   20),  74.3 :  +161.2,   7.0,  100.0

24) Gaviota 1.0        2925.7 :   4200 (+1071,=1273,-1856),  40.7 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (    0,    9,  191),   2.3 :  -589.1,   8.1,    0.0
    Hiarcs 15.3.1             :    200 (    0,   16,  184),   4.0 :  -531.7,   8.0,    0.0
    Shredder 13               :    200 (    9,   44,  147),  15.5 :  -302.4,   7.3,    0.0
    Demolito 20211004         :    200 (    9,   52,  139),  17.5 :  -275.1,   7.7,    0.0
    iCE 4.0                   :    200 (   17,   57,  126),  22.8 :  -214.3,   5.8,    0.0
    Weiss 1.3                 :    200 (   10,   58,  132),  19.5 :  -214.2,   7.7,    0.0
    Senpai 2.0                :    200 (   12,   74,  114),  24.5 :  -198.6,   7.6,    0.0
    Orion 1.0                 :    200 (   28,   63,  109),  29.8 :  -165.7,   7.8,    0.0
    Rodent 4                  :    200 (   36,   91,   73),  40.8 :   -78.8,   7.7,    0.0
    Crafty 25.3               :    400 (   94,  129,  177),  39.6 :   -55.1,   6.5,    0.0
    Spike 1.4                 :    400 (  106,  153,  141),  45.6 :   -38.1,   6.4,    0.0
    Dumb 2.1                  :    200 (   88,   68,   44),  61.0 :   +57.3,   6.4,  100.0
    Sjeng 3.0                 :    200 (   92,   61,   47),  61.3 :   +70.7,   6.2,  100.0
    MadChess 3.4              :    500 (  224,  177,   99),  62.5 :   +84.6,   6.1,  100.0
    MadChess 3.3              :    500 (  238,  161,  101),  63.7 :  +111.5,   6.0,  100.0
    Pawny 1.2                 :    200 (  108,   60,   32),  69.0 :  +123.2,   6.3,  100.0

25) Dumb 2.1           2868.4 :   4000 (+1776,=1185,-1039),  59.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   43,   68,   89),  38.5 :  -112.3,   7.1,    0.0
    Spike 1.4                 :    200 (   48,   60,   92),  39.0 :   -95.3,   7.1,    0.0
    Gaviota 1.0               :    200 (   44,   68,   88),  39.0 :   -57.3,   6.4,    0.0
    Sjeng 3.0                 :    400 (  150,  125,  125),  53.1 :   +13.4,   5.7,   99.1
    MadChess 3.4              :    500 (  191,  162,  147),  54.4 :   +27.4,   5.7,  100.0
    Fruit 2.3                 :    200 (   78,   61,   61),  54.3 :   +38.4,   5.6,  100.0
    MadChess 3.3              :    500 (  191,  165,  144),  54.7 :   +54.3,   5.5,  100.0
    Pawny 1.2                 :    400 (  195,  101,  104),  61.4 :   +65.9,   5.7,  100.0
    Leorik 2.3                :    200 (   99,   74,   27),  68.0 :  +120.8,   6.4,  100.0
    Marvin 3.0                :    200 (   87,   75,   38),  62.3 :  +122.8,   7.0,  100.0
    Blunder 8.5.5             :    200 (  112,   60,   28),  71.0 :  +171.9,   6.6,  100.0
    Djinn 1.021               :    200 (  139,   38,   23),  79.0 :  +186.9,   6.0,  100.0
    Glass 2.0                 :    200 (  139,   36,   25),  78.5 :  +213.0,   6.1,  100.0
    Rotor 0.8                 :    200 (  138,   37,   25),  78.3 :  +222.1,   6.1,  100.0
    Myrddin 0.90              :    200 (  122,   55,   23),  74.8 :  +231.1,   6.5,  100.0

26) Sjeng 3.0          2855.0 :   4000 (+1651,=1281,-1068),  57.3 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   23,   65,  112),  27.8 :  -125.7,   7.0,    0.0
    Spike 1.4                 :    200 (   40,   54,  106),  33.5 :  -108.7,   7.0,    0.0
    Gaviota 1.0               :    200 (   47,   61,   92),  38.8 :   -70.7,   6.2,    0.0
    Dumb 2.1                  :    400 (  125,  125,  150),  46.9 :   -13.4,   5.7,    0.9
    MadChess 3.4              :    500 (  179,  187,  134),  54.5 :   +14.0,   5.3,   99.6
    Fruit 2.3                 :    200 (   65,   84,   51),  53.5 :   +25.0,   5.4,  100.0
    MadChess 3.3              :    500 (  204,  192,  104),  60.0 :   +40.9,   5.3,  100.0
    Pawny 1.2                 :    400 (  161,  127,  112),  56.1 :   +52.5,   5.5,  100.0
    Leorik 2.3                :    200 (   90,   62,   48),  60.5 :  +107.4,   6.1,  100.0
    Marvin 3.0                :    200 (  110,   53,   37),  68.3 :  +109.4,   6.8,  100.0
    Blunder 8.5.5             :    200 (  108,   65,   27),  70.3 :  +158.5,   6.4,  100.0
    Djinn 1.021               :    200 (  117,   57,   26),  72.8 :  +173.5,   5.9,  100.0
    Glass 2.0                 :    200 (  131,   46,   23),  77.0 :  +199.6,   6.1,  100.0
    Rotor 0.8                 :    200 (  118,   52,   30),  72.0 :  +208.6,   5.7,  100.0
    Myrddin 0.90              :    200 (  133,   51,   16),  79.3 :  +217.7,   6.6,  100.0

27) MadChess 3.4       2841.1 :   5000 (+2173,=1579,-1248),  59.3 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Gaviota 1.0               :    500 (   99,  177,  224),  37.5 :   -84.6,   6.1,    0.0
    Dumb 2.1                  :    500 (  147,  162,  191),  45.6 :   -27.4,   5.7,    0.0
    Sjeng 3.0                 :    500 (  134,  187,  179),  45.5 :   -14.0,   5.3,    0.4
    Fruit 2.3                 :    500 (  172,  194,  134),  53.8 :   +11.1,   5.1,   98.4
    Pawny 1.2                 :    500 (  181,  180,  139),  54.2 :   +38.5,   5.5,  100.0
    Leorik 2.3                :    500 (  241,  154,  105),  63.6 :   +93.4,   5.9,  100.0
    Blunder 8.5.5             :    500 (  267,  143,   90),  67.7 :  +144.5,   6.2,  100.0
    Djinn 1.021               :    500 (  282,  147,   71),  71.1 :  +159.6,   5.7,  100.0
    Glass 2.0                 :    500 (  323,  113,   64),  75.9 :  +185.6,   5.7,  100.0
    Rotor 0.8                 :    500 (  327,  122,   51),  77.6 :  +194.7,   5.6,  100.0

28) Fruit 2.3          2830.0 :   3000 (+1217,=1037,-746),  57.9 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (   61,   61,  78),  45.8 :   -38.4,   5.6,    0.0
    Sjeng 3.0                 :    200 (   51,   84,  65),  46.5 :   -25.0,   5.4,    0.0
    MadChess 3.4              :    500 (  134,  194, 172),  46.2 :   -11.1,   5.1,    1.6
    MadChess 3.3              :    500 (  161,  183, 156),  50.5 :   +15.8,   5.1,   99.9
    Pawny 1.2                 :    200 (   60,   83,  57),  50.8 :   +27.5,   5.5,  100.0
    Leorik 2.3                :    200 (   83,   61,  56),  56.8 :   +82.4,   6.0,  100.0
    Marvin 3.0                :    200 (   95,   60,  45),  62.5 :   +84.4,   6.7,  100.0
    Blunder 8.5.5             :    200 (  114,   67,  19),  73.8 :  +133.4,   6.3,  100.0
    Djinn 1.021               :    200 (  103,   73,  24),  69.8 :  +148.5,   5.5,  100.0
    Glass 2.0                 :    200 (  117,   56,  27),  72.5 :  +174.6,   5.4,  100.0
    Rotor 0.8                 :    200 (  112,   63,  25),  71.8 :  +183.6,   5.4,  100.0
    Myrddin 0.90              :    200 (  126,   52,  22),  76.0 :  +192.7,   5.8,  100.0

29) MadChess 3.3       2814.2 :   5000 (+1974,=1627,-1399),  55.8 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Gaviota 1.0               :    500 (  101,  161,  238),  36.3 :  -111.5,   6.0,    0.0
    Dumb 2.1                  :    500 (  144,  165,  191),  45.3 :   -54.3,   5.5,    0.0
    Sjeng 3.0                 :    500 (  104,  192,  204),  40.0 :   -40.9,   5.3,    0.0
    Fruit 2.3                 :    500 (  156,  183,  161),  49.5 :   -15.8,   5.1,    0.1
    Pawny 1.2                 :    500 (  180,  170,  150),  53.0 :   +11.6,   5.4,   98.5
    Leorik 2.3                :    500 (  215,  170,  115),  60.0 :   +66.5,   5.8,  100.0
    Blunder 8.5.5             :    500 (  232,  163,  105),  62.7 :  +117.6,   6.0,  100.0
    Djinn 1.021               :    500 (  255,  157,   88),  66.7 :  +132.7,   5.4,  100.0
    Glass 2.0                 :    500 (  305,  120,   75),  73.0 :  +158.7,   5.5,  100.0
    Rotor 0.8                 :    500 (  282,  146,   72),  71.0 :  +167.8,   5.6,  100.0

30) Pawny 1.2          2802.5 :   4000 (+1348,=1275,-1377),  49.6 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   21,   62,  117),  26.0 :  -178.2,   7.0,    0.0
    Spike 1.4                 :    200 (   20,   63,  117),  25.8 :  -161.2,   7.0,    0.0
    Gaviota 1.0               :    200 (   32,   60,  108),  31.0 :  -123.2,   6.3,    0.0
    Dumb 2.1                  :    400 (  104,  101,  195),  38.6 :   -65.9,   5.7,    0.0
    Sjeng 3.0                 :    400 (  112,  127,  161),  43.9 :   -52.5,   5.5,    0.0
    MadChess 3.4              :    500 (  139,  180,  181),  45.8 :   -38.5,   5.5,    0.0
    Fruit 2.3                 :    200 (   57,   83,   60),  49.3 :   -27.5,   5.5,    0.0
    MadChess 3.3              :    500 (  150,  170,  180),  47.0 :   -11.6,   5.4,    1.5
    Leorik 2.3                :    200 (   81,   71,   48),  58.3 :   +54.9,   6.0,  100.0
    Marvin 3.0                :    200 (   86,   64,   50),  59.0 :   +56.9,   6.9,  100.0
    Blunder 8.5.5             :    200 (  106,   55,   39),  66.8 :  +106.0,   6.5,  100.0
    Djinn 1.021               :    200 (   88,   77,   35),  63.3 :  +121.0,   5.8,  100.0
    Glass 2.0                 :    200 (  112,   59,   29),  70.8 :  +147.1,   5.8,  100.0
    Rotor 0.8                 :    200 (  121,   49,   30),  72.8 :  +156.2,   6.1,  100.0
    Myrddin 0.90              :    200 (  119,   54,   27),  73.0 :  +165.2,   6.4,  100.0

31) Leorik 2.3         2747.6 :   3000 (+902,=1005,-1093),  46.8 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  27,   74,   99),  32.0 :  -120.8,   6.4,    0.0
    Sjeng 3.0                 :    200 (  48,   62,   90),  39.5 :  -107.4,   6.1,    0.0
    MadChess 3.4              :    500 ( 105,  154,  241),  36.4 :   -93.4,   5.9,    0.0
    Fruit 2.3                 :    200 (  56,   61,   83),  43.3 :   -82.4,   6.0,    0.0
    MadChess 3.3              :    500 ( 115,  170,  215),  40.0 :   -66.5,   5.8,    0.0
    Pawny 1.2                 :    200 (  48,   71,   81),  41.8 :   -54.9,   6.0,    0.0
    Marvin 3.0                :    200 (  61,   79,   60),  50.3 :    +2.0,   7.2,   60.8
    Blunder 8.5.5             :    200 (  73,   81,   46),  56.8 :   +51.0,   6.9,  100.0
    Djinn 1.021               :    200 (  81,   72,   47),  58.5 :   +66.1,   6.2,  100.0
    Glass 2.0                 :    200 ( 106,   52,   42),  66.0 :   +92.2,   6.4,  100.0
    Rotor 0.8                 :    200 (  89,   62,   49),  60.0 :  +101.2,   6.3,  100.0
    Myrddin 0.90              :    200 (  93,   67,   40),  63.3 :  +110.3,   6.8,  100.0

32) Marvin 3.0         2745.6 :   2000 (+667,=687,-646),  50.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  38,  75,  87),  37.8 :  -122.8,   7.0,    0.0
    Sjeng 3.0                 :    200 (  37,  53, 110),  31.8 :  -109.4,   6.8,    0.0
    Fruit 2.3                 :    200 (  45,  60,  95),  37.5 :   -84.4,   6.7,    0.0
    Pawny 1.2                 :    200 (  50,  64,  86),  41.0 :   -56.9,   6.9,    0.0
    Leorik 2.3                :    200 (  60,  79,  61),  49.8 :    -2.0,   7.2,   39.2
    Blunder 8.5.5             :    200 (  76,  89,  35),  60.3 :   +49.1,   7.5,  100.0
    Djinn 1.021               :    200 (  89,  67,  44),  61.3 :   +64.1,   6.9,  100.0
    Glass 2.0                 :    200 (  96,  59,  45),  62.8 :   +90.2,   6.9,  100.0
    Rotor 0.8                 :    200 (  93,  63,  44),  62.3 :   +99.3,   7.1,  100.0
    Myrddin 0.90              :    200 (  83,  78,  39),  61.0 :  +108.3,   7.3,  100.0

33) Blunder 8.5.5      2696.6 :   3000 (+675,=1024,-1301),  39.6 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  28,   60,  112),  29.0 :  -171.9,   6.6,    0.0
    Sjeng 3.0                 :    200 (  27,   65,  108),  29.8 :  -158.5,   6.4,    0.0
    MadChess 3.4              :    500 (  90,  143,  267),  32.3 :  -144.5,   6.2,    0.0
    Fruit 2.3                 :    200 (  19,   67,  114),  26.3 :  -133.4,   6.3,    0.0
    MadChess 3.3              :    500 ( 105,  163,  232),  37.3 :  -117.6,   6.0,    0.0
    Pawny 1.2                 :    200 (  39,   55,  106),  33.3 :  -106.0,   6.5,    0.0
    Leorik 2.3                :    200 (  46,   81,   73),  43.3 :   -51.0,   6.9,    0.0
    Marvin 3.0                :    200 (  35,   89,   76),  39.8 :   -49.1,   7.5,    0.0
    Djinn 1.021               :    200 (  66,   73,   61),  51.3 :   +15.1,   6.4,   99.1
    Glass 2.0                 :    200 (  73,   66,   61),  53.0 :   +41.1,   6.7,  100.0
    Rotor 0.8                 :    200 (  71,   78,   51),  55.0 :   +50.2,   6.5,  100.0
    Myrddin 0.90              :    200 (  76,   84,   40),  59.0 :   +59.3,   6.9,  100.0

34) Djinn 1.021        2681.5 :   4000 (+1060,=1271,-1669),  42.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (   23,   38,  139),  21.0 :  -186.9,   6.0,    0.0
    Sjeng 3.0                 :    200 (   26,   57,  117),  27.3 :  -173.5,   5.9,    0.0
    MadChess 3.4              :    500 (   71,  147,  282),  28.9 :  -159.6,   5.7,    0.0
    Fruit 2.3                 :    200 (   24,   73,  103),  30.3 :  -148.5,   5.5,    0.0
    MadChess 3.3              :    500 (   88,  157,  255),  33.3 :  -132.7,   5.4,    0.0
    Pawny 1.2                 :    200 (   35,   77,   88),  36.8 :  -121.0,   5.8,    0.0
    Leorik 2.3                :    200 (   47,   72,   81),  41.5 :   -66.1,   6.2,    0.0
    Marvin 3.0                :    200 (   44,   67,   89),  38.8 :   -64.1,   6.9,    0.0
    Blunder 8.5.5             :    200 (   61,   73,   66),  48.8 :   -15.1,   6.4,    0.9
    Glass 2.0                 :    400 (  140,  127,  133),  50.9 :   +26.1,   5.6,  100.0
    Rotor 0.8                 :    400 (  157,  136,  107),  56.3 :   +35.1,   5.8,  100.0
    Myrddin 0.90              :    400 (  165,  131,  104),  57.6 :   +44.2,   6.2,  100.0
    Floyd 0.9                 :    200 (   85,   57,   58),  56.8 :   +59.8,   7.5,  100.0
    Maverick 1.5              :    200 (   94,   59,   47),  61.8 :   +86.5,   5.5,  100.0

35) Glass 2.0          2655.4 :   4000 (+1007,=1079,-1914),  38.7 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (   25,   36,  139),  21.5 :  -213.0,   6.1,    0.0
    Sjeng 3.0                 :    200 (   23,   46,  131),  23.0 :  -199.6,   6.1,    0.0
    MadChess 3.4              :    500 (   64,  113,  323),  24.1 :  -185.6,   5.7,    0.0
    Fruit 2.3                 :    200 (   27,   56,  117),  27.5 :  -174.6,   5.4,    0.0
    MadChess 3.3              :    500 (   75,  120,  305),  27.0 :  -158.7,   5.5,    0.0
    Pawny 1.2                 :    200 (   29,   59,  112),  29.3 :  -147.1,   5.8,    0.0
    Leorik 2.3                :    200 (   42,   52,  106),  34.0 :   -92.2,   6.4,    0.0
    Marvin 3.0                :    200 (   45,   59,   96),  37.3 :   -90.2,   6.9,    0.0
    Blunder 8.5.5             :    200 (   61,   66,   73),  47.0 :   -41.1,   6.7,    0.0
    Djinn 1.021               :    400 (  133,  127,  140),  49.1 :   -26.1,   5.6,    0.0
    Rotor 0.8                 :    400 (  146,  131,  123),  52.9 :    +9.1,   5.7,   94.3
    Myrddin 0.90              :    400 (  168,  103,  129),  54.9 :   +18.2,   6.3,   99.8
    Floyd 0.9                 :    200 (   75,   59,   66),  52.3 :   +33.7,   7.3,  100.0
    Maverick 1.5              :    200 (   94,   52,   54),  60.0 :   +60.4,   5.4,  100.0

36) Rotor 0.8          2646.4 :   4000 (+908,=1175,-1917),  37.4 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  25,   37,  138),  21.8 :  -222.1,   6.1,    0.0
    Sjeng 3.0                 :    200 (  30,   52,  118),  28.0 :  -208.6,   5.7,    0.0
    MadChess 3.4              :    500 (  51,  122,  327),  22.4 :  -194.7,   5.6,    0.0
    Fruit 2.3                 :    200 (  25,   63,  112),  28.3 :  -183.6,   5.4,    0.0
    MadChess 3.3              :    500 (  72,  146,  282),  29.0 :  -167.8,   5.6,    0.0
    Pawny 1.2                 :    200 (  30,   49,  121),  27.3 :  -156.2,   6.1,    0.0
    Leorik 2.3                :    200 (  49,   62,   89),  40.0 :  -101.2,   6.3,    0.0
    Marvin 3.0                :    200 (  44,   63,   93),  37.8 :   -99.3,   7.1,    0.0
    Blunder 8.5.5             :    200 (  51,   78,   71),  45.0 :   -50.2,   6.5,    0.0
    Djinn 1.021               :    400 ( 107,  136,  157),  43.8 :   -35.1,   5.8,    0.0
    Glass 2.0                 :    400 ( 123,  131,  146),  47.1 :    -9.1,   5.7,    5.7
    Myrddin 0.90              :    400 ( 133,  126,  141),  49.0 :    +9.1,   6.4,   92.3
    Floyd 0.9                 :    200 (  86,   59,   55),  57.8 :   +24.6,   7.3,  100.0
    Maverick 1.5              :    200 (  82,   51,   67),  53.8 :   +51.4,   5.4,  100.0

37) Myrddin 0.90       2637.3 :   3000 (+728,=928,-1344),  39.7 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  23,  55,  122),  25.3 :  -231.1,   6.5,    0.0
    Sjeng 3.0                 :    200 (  16,  51,  133),  20.8 :  -217.7,   6.6,    0.0
    Fruit 2.3                 :    200 (  22,  52,  126),  24.0 :  -192.7,   5.8,    0.0
    Pawny 1.2                 :    200 (  27,  54,  119),  27.0 :  -165.2,   6.4,    0.0
    Leorik 2.3                :    200 (  40,  67,   93),  36.8 :  -110.3,   6.8,    0.0
    Marvin 3.0                :    200 (  39,  78,   83),  39.0 :  -108.3,   7.3,    0.0
    Blunder 8.5.5             :    200 (  40,  84,   76),  41.0 :   -59.3,   6.9,    0.0
    Djinn 1.021               :    400 ( 104, 131,  165),  42.4 :   -44.2,   6.2,    0.0
    Glass 2.0                 :    400 ( 129, 103,  168),  45.1 :   -18.2,   6.3,    0.2
    Rotor 0.8                 :    400 ( 141, 126,  133),  51.0 :    -9.1,   6.4,    7.7
    Floyd 0.9                 :    200 (  73,  54,   73),  50.0 :   +15.6,   7.6,   97.9
    Maverick 1.5              :    200 (  74,  73,   53),  55.3 :   +42.3,   5.8,  100.0

38) Floyd 0.9          2621.7 :   3200 (+1980,=577,-643),  70.9 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Djinn 1.021               :    200 (   58,  57,  85),  43.3 :   -59.8,   7.5,    0.0
    Glass 2.0                 :    200 (   66,  59,  75),  47.8 :   -33.7,   7.3,    0.0
    Rotor 0.8                 :    200 (   55,  59,  86),  42.3 :   -24.6,   7.3,    0.0
    Myrddin 0.90              :    200 (   73,  54,  73),  50.0 :   -15.6,   7.6,    2.1
    Maverick 1.5              :    400 (  179,  95, 126),  56.6 :   +26.7,   6.2,  100.0
    Ghost 3.1                 :    200 (  107,  46,  47),  65.0 :  +129.5,   8.4,  100.0
    Cosette 5.1               :    200 (  117,  41,  42),  68.8 :  +132.9,   8.8,  100.0
    BikJump 3.1               :    200 (  129,  35,  36),  73.3 :  +165.3,   9.1,  100.0
    Gaia 3.5                  :    200 (  125,  31,  44),  70.3 :  +177.0,   8.7,  100.0
    Sungorus 1.4              :    200 (  152,  36,  12),  85.0 :  +296.1,   9.3,  100.0
    Napoleon 1.8              :    200 (  162,  27,  11),  87.8 :  +332.1,   9.3,  100.0
    Faile 1.4                 :    200 (  179,  18,   3),  94.0 :  +620.6,  11.3,  100.0
    Rustic Alpha 3.0.0        :    200 (  186,  13,   1),  96.3 :  +692.5,  12.1,  100.0
    Walleye 1.6.0             :    200 (  196,   3,   1),  98.8 :  +774.8,  12.9,  100.0
    TSCP 1.81                 :    200 (  196,   3,   1),  98.8 :  +874.8,  14.4,  100.0

39) Maverick 1.5       2595.0 :   3200 (+1890,=587,-723),  68.2 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Djinn 1.021               :    200 (   47,  59,  94),  38.3 :   -86.5,   5.5,    0.0
    Glass 2.0                 :    200 (   54,  52,  94),  40.0 :   -60.4,   5.4,    0.0
    Rotor 0.8                 :    200 (   67,  51,  82),  46.3 :   -51.4,   5.4,    0.0
    Myrddin 0.90              :    200 (   53,  73,  74),  44.8 :   -42.3,   5.8,    0.0
    Floyd 0.9                 :    400 (  126,  95, 179),  43.4 :   -26.7,   6.2,    0.0
    Ghost 3.1                 :    200 (  111,  44,  45),  66.5 :  +102.8,   8.6,  100.0
    Cosette 5.1               :    200 (  107,  45,  48),  64.8 :  +106.1,   8.9,  100.0
    BikJump 3.1               :    200 (  116,  48,  36),  70.0 :  +138.6,   8.7,  100.0
    Gaia 3.5                  :    200 (  108,  48,  44),  66.0 :  +150.3,   8.6,  100.0
    Sungorus 1.4              :    200 (  157,  27,  16),  85.3 :  +269.3,   9.4,  100.0
    Napoleon 1.8              :    200 (  169,  23,   8),  90.3 :  +305.4,   9.3,  100.0
    Faile 1.4                 :    200 (  188,  11,   1),  96.8 :  +593.9,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  194,   5,   1),  98.3 :  +665.7,  11.8,  100.0
    Walleye 1.6.0             :    200 (  196,   3,   1),  98.8 :  +748.1,  12.5,  100.0
    TSCP 1.81                 :    200 (  197,   3,   0),  99.3 :  +848.1,  14.0,  100.0

40) Ghost 3.1          2492.2 :   2200 (+1364,=332,-504),  69.5 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   47,  46, 107),  35.0 :  -129.5,   8.4,    0.0
    Maverick 1.5              :    200 (   45,  44, 111),  33.5 :  -102.8,   8.6,    0.0
    Cosette 5.1               :    200 (   77,  47,  76),  50.3 :    +3.4,   9.1,   64.4
    BikJump 3.1               :    200 (   98,  43,  59),  59.8 :   +35.8,   9.0,  100.0
    Gaia 3.5                  :    200 (   91,  35,  74),  54.3 :   +47.5,   8.9,  100.0
    Sungorus 1.4              :    200 (  125,  39,  36),  72.3 :  +166.6,   9.2,  100.0
    Napoleon 1.8              :    200 (  123,  42,  35),  72.0 :  +202.6,   9.3,  100.0
    Faile 1.4                 :    200 (  178,  19,   3),  93.8 :  +491.1,  10.9,  100.0
    Rustic Alpha 3.0.0        :    200 (  190,   9,   1),  97.3 :  +563.0,  11.6,  100.0
    Walleye 1.6.0             :    200 (  195,   4,   1),  98.5 :  +645.3,  12.6,  100.0
    TSCP 1.81                 :    200 (  195,   4,   1),  98.5 :  +745.3,  13.8,  100.0

41) Cosette 5.1        2488.9 :   2200 (+1343,=359,-498),  69.2 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   42,  41, 117),  31.3 :  -132.9,   8.8,    0.0
    Maverick 1.5              :    200 (   48,  45, 107),  35.3 :  -106.1,   8.9,    0.0
    Ghost 3.1                 :    200 (   76,  47,  77),  49.8 :    -3.4,   9.1,   35.6
    BikJump 3.1               :    200 (   78,  58,  64),  53.5 :   +32.4,   9.2,  100.0
    Gaia 3.5                  :    200 (   87,  46,  67),  55.0 :   +44.1,   9.2,  100.0
    Sungorus 1.4              :    200 (  123,  50,  27),  74.0 :  +163.2,   9.8,  100.0
    Napoleon 1.8              :    200 (  131,  41,  28),  75.8 :  +199.2,   9.5,  100.0
    Faile 1.4                 :    200 (  184,  13,   3),  95.3 :  +487.7,  11.5,  100.0
    Rustic Alpha 3.0.0        :    200 (  192,   6,   2),  97.5 :  +559.6,  12.3,  100.0
    Walleye 1.6.0             :    200 (  193,   6,   1),  98.0 :  +641.9,  13.0,  100.0
    TSCP 1.81                 :    200 (  189,   6,   5),  96.0 :  +742.0,  14.2,  100.0

42) BikJump 3.1        2456.4 :   2200 (+1279,=341,-580),  65.9 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   36,  35, 129),  26.8 :  -165.3,   9.1,    0.0
    Maverick 1.5              :    200 (   36,  48, 116),  30.0 :  -138.6,   8.7,    0.0
    Ghost 3.1                 :    200 (   59,  43,  98),  40.3 :   -35.8,   9.0,    0.0
    Cosette 5.1               :    200 (   64,  58,  78),  46.5 :   -32.4,   9.2,    0.0
