Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Berserk 13                :    890 (    8,  611,  271),  35.2 :   -99.7,   3.7,    0.0
    RubiChess 20240817        :    890 (   42,  681,  167),  43.0 :   -53.5,   3.6,    0.0
    Ethereal 14.25            :    891 (   33,  717,  141),  43.9 :   -39.3,   3.4,    0.0
    Rebel 16.3                :    890 (   96,  710,   84),  50.7 :    +6.4,   3.4,   96.9
    rofChade 3.1              :    890 (  113,  710,   67),  52.6 :   +17.9,   3.6,  100.0
    SlowChess 2.9             :    890 (  275,  592,   23),  64.2 :   +91.9,   3.3,  100.0
    Shredder 14               :    890 (  267,  597,   26),  63.5 :   +91.9,   3.6,  100.0
    Arasan 24.2.2             :    890 (  268,  586,   36),  63.0 :   +92.3,   3.4,  100.0
    Minic 3.41                :    890 (  307,  570,   13),  66.5 :  +128.8,   3.4,  100.0

 7) Rebel 16.3         3650.0 :   9791 (+1245,=7161,-1385),  49.3 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    890 (    2,  565,  323),  32.0 :  -154.3,   3.5,    0.0
    Komodo Dragon 3.3         :    890 (   11,  611,  268),  35.6 :  -107.0,   3.4,    0.0
    Berserk 13                :    890 (    9,  623,  258),  36.0 :  -106.1,   3.5,    0.0
    RubiChess 20240817        :    890 (   23,  704,  163),  42.1 :   -59.9,   3.3,    0.0
    Ethereal 14.25            :    890 (   38,  743,  109),  46.0 :   -45.7,   3.3,    0.0
    Koivisto 9.0              :    890 (   84,  710,   96),  49.3 :    -6.4,   3.4,    3.1
    rofChade 3.1              :    891 (  101,  724,   66),  52.0 :   +11.5,   3.3,  100.0
    SlowChess 2.9             :    890 (  209,  646,   35),  59.8 :   +85.4,   2.8,  100.0
    Shredder 14               :    890 (  227,  630,   33),  60.9 :   +85.4,   3.3,  100.0
    Arasan 24.2.2             :    890 (  239,  626,   25),  62.0 :   +85.9,   2.8,  100.0
    Minic 3.41                :    890 (  302,  579,    9),  66.5 :  +122.4,   2.8,  100.0

 8) rofChade 3.1       3638.5 :   9791 (+1167,=6919,-1705),  47.3 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    890 (    2,  496,  392),  28.1 :  -165.8,   3.7,    0.0
    Komodo Dragon 3.3         :    890 (    6,  603,  281),  34.6 :  -118.5,   3.5,    0.0
    Berserk 13                :    890 (    3,  605,  282),  34.3 :  -117.6,   3.8,    0.0
    RubiChess 20240817        :    890 (   18,  676,  196),  40.0 :   -71.4,   3.6,    0.0
    Ethereal 14.25            :    890 (   27,  704,  159),  42.6 :   -57.2,   3.6,    0.0
    Koivisto 9.0              :    890 (   67,  710,  113),  47.4 :   -17.9,   3.6,    0.0
    Rebel 16.3                :    891 (   66,  724,  101),  48.0 :   -11.5,   3.3,    0.0
    SlowChess 2.9             :    890 (  224,  607,   59),  59.3 :   +73.9,   3.4,  100.0
    Shredder 14               :    890 (  216,  624,   50),  59.3 :   +74.0,   3.6,  100.0
    Arasan 24.2.2             :    890 (  238,  601,   51),  60.5 :   +74.4,   3.3,  100.0
    Minic 3.41                :    890 (  300,  569,   21),  65.7 :  +110.9,   3.4,  100.0

 9) SlowChess 2.9      3564.6 :  14792 (+1997,=9166,-3629),  44.5 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    890 (    0,  353,  537),  19.8 :  -239.7,   3.6,    0.0
    Komodo Dragon 3.3         :    890 (    3,  435,  452),  24.8 :  -192.4,   3.5,    0.0
    Berserk 13                :    891 (    3,  413,  475),  23.5 :  -191.5,   3.5,    0.0
    RubiChess 20240817        :    890 (    6,  508,  376),  29.2 :  -145.4,   3.4,    0.0
    Ethereal 14.25            :    890 (   14,  532,  344),  31.5 :  -131.1,   3.3,    0.0
    Koivisto 9.0              :    890 (   23,  592,  275),  35.8 :   -91.9,   3.3,    0.0
    Rebel 16.3                :    890 (   35,  646,  209),  40.2 :   -85.4,   2.8,    0.0
    rofChade 3.1              :    890 (   59,  607,  224),  40.7 :   -73.9,   3.4,    0.0
    Shredder 14               :    890 (  125,  658,  107),  51.0 :    +0.0,   3.4,   50.2
    Arasan 24.2.2             :   1890 (  253, 1379,  258),  49.9 :    +0.4,   2.8,   56.1
    Minic 3.41                :   1891 (  351, 1371,  169),  54.8 :   +37.0,   3.0,  100.0
    Texel 1.11                :   1000 (  240,  667,   93),  57.4 :   +45.5,   3.5,  100.0
    Wasp 7.00                 :   1000 (  232,  674,   94),  56.9 :   +45.5,   3.5,  100.0
