Head to head statistics:

 1) Stockfish 16.1     3804.3 :   9792 (+4057,=5703,-32),  70.6 %

    vs.                       :  games (    +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Wasp 7.00                 :    879 (    6,   56,  817),   3.9 :  -561.1,   4.0,    0.0
    Hiarcs 15.3.1             :    879 (   16,  151,  712),  10.4 :  -354.4,   3.8,    0.0
    Demolito 20211004         :    879 (   48,  247,  584),  19.5 :  -240.4,   3.8,    0.0
    Senpai 2.0                :    878 (   77,  249,  552),  22.9 :  -172.2,   3.7,    0.0
    iCE 4.0                   :    879 (  110,  260,  509),  27.3 :  -172.0,   2.9,    0.0
    Weiss 1.3                 :    878 (  106,  273,  499),  27.6 :  -166.5,   3.7,    0.0
    Orion 1.0                 :    879 (  194,  384,  301),  43.9 :  -100.3,   3.6,    0.0
    Rodent 4                  :    879 (  211,  347,  321),  43.7 :   -25.2,   3.9,    0.0
    Spike 1.4                 :   1879 (  566,  767,  546),  50.5 :   +16.1,   3.1,  100.0
    Gaviota 1.0               :   1879 (  678,  633,  568),  52.9 :   +29.9,   3.1,  100.0
    Dumb 2.1                  :   1000 (  527,  263,  210),  65.8 :  +105.2,   3.4,  100.0
    Sjeng 3.0                 :   1000 (  564,  271,  165),  70.0 :  +136.0,   3.5,  100.0
    Fruit 2.3                 :   1000 (  603,  286,  111),  74.6 :  +148.0,   2.9,  100.0

23) Spike 1.4          2941.9 :  14667 (+3378,=4301,-6988),  37.7 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    2,   52,  825),   3.2 :  -577.2,   4.0,    0.0
    Wasp 7.00                 :    879 (    2,   54,  823),   3.3 :  -577.2,   3.9,    0.0
    Hiarcs 15.3.1             :    879 (   13,  158,  708),  10.5 :  -370.5,   3.6,    0.0
    Demolito 20211004         :    878 (   41,  273,  564),  20.2 :  -256.5,   3.6,    0.0
    Senpai 2.0                :    879 (   73,  287,  519),  24.6 :  -188.3,   3.6,    0.0
    iCE 4.0                   :    878 (   84,  271,  523),  25.0 :  -188.1,   2.8,    0.0
    Weiss 1.3                 :    879 (   84,  269,  526),  24.9 :  -182.6,   3.6,    0.0
    Orion 1.0                 :    879 (  185,  232,  462),  34.2 :  -116.5,   3.6,    0.0
    Rodent 4                  :    879 (  200,  388,  291),  44.8 :   -41.3,   3.8,    0.0
    Crafty 25.3               :   1879 (  546,  767,  566),  49.5 :   -16.1,   3.1,    0.0
    Gaviota 1.0               :   1879 (  613,  666,  600),  50.3 :   +13.8,   3.0,  100.0
    Dumb 2.1                  :   1000 (  481,  244,  275),  60.3 :   +89.1,   3.3,  100.0
    Sjeng 3.0                 :   1000 (  524,  299,  177),  67.3 :  +119.8,   3.3,  100.0
    Fruit 2.3                 :   1000 (  530,  341,  129),  70.0 :  +131.9,   2.8,  100.0

24) Gaviota 1.0        2928.1 :  15667 (+3849,=4236,-7582),  38.1 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    879 (    4,   46,  829),   3.1 :  -591.0,   4.1,    0.0
    Wasp 7.00                 :    879 (    3,   33,  843),   2.2 :  -590.9,   3.9,    0.0
    Hiarcs 15.3.1             :    878 (   16,  155,  707),  10.6 :  -384.3,   3.7,    0.0
    Demolito 20211004         :    879 (   50,  176,  653),  15.7 :  -270.3,   3.8,    0.0
    Senpai 2.0                :    879 (   64,  274,  541),  22.9 :  -202.1,   3.6,    0.0
    iCE 4.0                   :    879 (   70,  245,  564),  21.9 :  -201.9,   2.8,    0.0
    Weiss 1.3                 :    878 (   90,  261,  527),  25.1 :  -196.4,   3.7,    0.0
    Orion 1.0                 :    879 (  180,  288,  411),  36.9 :  -130.2,   3.6,    0.0
    Rodent 4                  :    879 (  194,  335,  350),  41.1 :   -55.1,   3.8,    0.0
    Crafty 25.3               :   1879 (  568,  633,  678),  47.1 :   -29.9,   3.1,    0.0
    Spike 1.4                 :   1879 (  600,  666,  613),  49.7 :   -13.8,   3.0,    0.0
    Dumb 2.1                  :   1000 (  459,  275,  266),  59.6 :   +75.4,   3.4,  100.0
    Sjeng 3.0                 :   1000 (  509,  273,  218),  64.5 :  +106.1,   3.3,  100.0
    Fruit 2.3                 :   1000 (  529,  282,  189),  67.0 :  +118.1,   2.8,  100.0
    MadChess 3.5              :   1000 (  513,  294,  193),  66.0 :  +144.1,   3.5,  100.0

25) Dumb 2.1           2852.8 :  15567 (+7349,=3942,-4276),  59.9 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :   1000 (  210,  263,  527),  34.1 :  -105.2,   3.4,    0.0
    Spike 1.4                 :   1000 (  275,  244,  481),  39.7 :   -89.1,   3.3,    0.0
    Gaviota 1.0               :   1000 (  266,  275,  459),  40.4 :   -75.4,   3.4,    0.0
    Sjeng 3.0                 :   1869 (  795,  497,  577),  55.8 :   +30.7,   2.9,  100.0
    Fruit 2.3                 :   1869 (  822,  476,  571),  56.7 :   +42.8,   2.6,  100.0
    Pawny 1.2                 :    870 (  401,  212,  257),  58.3 :   +66.2,   3.3,  100.0
    MadChess 3.5              :   1000 (  464,  249,  287),  58.9 :   +68.8,   3.2,  100.0
    MadChess 3.4              :    869 (  444,  206,  219),  62.9 :   +91.3,   3.4,  100.0
    Leorik 2.3                :    870 (  414,  275,  181),  63.4 :  +108.8,   3.3,  100.0
    Marvin 3.0                :    870 (  407,  307,  156),  64.4 :  +126.0,   3.2,  100.0
    Blunder 8.5.5             :    870 (  539,  228,  103),  75.1 :  +175.0,   3.4,  100.0
    Djinn 1.021               :    870 (  539,  193,  138),  73.0 :  +181.6,   3.3,  100.0
    Glass 2.0                 :    870 (  576,  161,  133),  75.5 :  +194.9,   3.4,  100.0
    Rotor 0.8                 :    870 (  581,  169,  120),  76.5 :  +222.1,   3.5,  100.0
    Myrddin 0.90              :    870 (  616,  187,   67),  81.6 :  +266.4,   3.6,  100.0

26) Sjeng 3.0          2822.0 :  15567 (+6419,=4416,-4732),  55.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :   1000 (  165,  271,  564),  30.1 :  -136.0,   3.5,    0.0
    Spike 1.4                 :   1000 (  177,  299,  524),  32.6 :  -119.8,   3.3,    0.0
    Gaviota 1.0               :   1000 (  218,  273,  509),  35.5 :  -106.1,   3.3,    0.0
    Dumb 2.1                  :   1869 (  577,  497,  795),  44.2 :   -30.7,   2.9,    0.0
    Fruit 2.3                 :   1870 (  629,  672,  569),  51.6 :   +12.0,   2.7,  100.0
    Pawny 1.2                 :    870 (  343,  297,  230),  56.5 :   +35.5,   3.3,  100.0
    MadChess 3.5              :   1000 (  432,  285,  283),  57.5 :   +38.1,   3.2,  100.0
    MadChess 3.4              :    869 (  381,  260,  228),  58.8 :   +60.6,   3.4,  100.0
    Leorik 2.3                :    870 (  434,  215,  221),  62.2 :   +78.1,   3.2,  100.0
    Marvin 3.0                :    869 (  418,  229,  222),  61.3 :   +95.3,   3.2,  100.0
    Blunder 8.5.5             :    870 (  474,  256,  140),  69.2 :  +144.3,   3.4,  100.0
    Djinn 1.021               :    870 (  518,  231,  121),  72.8 :  +150.9,   3.3,  100.0
    Glass 2.0                 :    870 (  517,  220,  133),  72.1 :  +164.2,   3.4,  100.0
    Rotor 0.8                 :    870 (  541,  217,  112),  74.7 :  +191.4,   3.4,  100.0
    Myrddin 0.90              :    870 (  595,  194,   81),  79.5 :  +235.7,   3.6,  100.0

27) Fruit 2.3          2810.0 :  15567 (+5994,=4622,-4951),  53.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :   1000 (  111,  286,  603),  25.4 :  -148.0,   2.9,    0.0
    Spike 1.4                 :   1000 (  129,  341,  530),  29.9 :  -131.9,   2.8,    0.0
    Gaviota 1.0               :   1000 (  189,  282,  529),  33.0 :  -118.1,   2.8,    0.0
    Dumb 2.1                  :   1869 (  571,  476,  822),  43.3 :   -42.8,   2.6,    0.0
    Sjeng 3.0                 :   1870 (  569,  672,  629),  48.4 :   -12.0,   2.7,    0.0
    Pawny 1.2                 :    869 (  292,  316,  261),  51.8 :   +23.4,   3.2,  100.0
    MadChess 3.5              :   1000 (  364,  320,  316),  52.4 :   +26.0,   3.0,  100.0
    MadChess 3.4              :    870 (  374,  246,  250),  57.1 :   +48.5,   3.3,  100.0
    Leorik 2.3                :    870 (  385,  252,  233),  58.7 :   +66.0,   3.2,  100.0
    Marvin 3.0                :    870 (  433,  237,  200),  63.4 :   +83.2,   3.1,  100.0
    Blunder 8.5.5             :    870 (  464,  261,  145),  68.3 :  +132.2,   3.3,  100.0
    Djinn 1.021               :    870 (  463,  271,  136),  68.8 :  +138.8,   3.2,  100.0
    Glass 2.0                 :    870 (  512,  232,  126),  72.2 :  +152.1,   3.2,  100.0
    Rotor 0.8                 :    870 (  564,  220,   86),  77.5 :  +179.3,   3.4,  100.0
    Myrddin 0.90              :    869 (  574,  210,   85),  78.1 :  +223.6,   3.5,  100.0

28) Pawny 1.2          2786.6 :  10567 (+4565,=3104,-2898),  57.9 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  257,  212,  401),  41.7 :   -66.2,   3.3,    0.0
    Sjeng 3.0                 :    870 (  230,  297,  343),  43.5 :   -35.5,   3.3,    0.0
    Fruit 2.3                 :    869 (  261,  316,  292),  48.2 :   -23.4,   3.2,    0.0
    MadChess 3.5              :   1000 (  344,  299,  357),  49.4 :    +2.6,   3.4,   78.2
    MadChess 3.4              :    870 (  317,  251,  302),  50.9 :   +25.1,   3.6,  100.0
    Leorik 2.3                :    870 (  345,  253,  272),  54.2 :   +42.6,   3.5,  100.0
    Marvin 3.0                :    870 (  381,  262,  227),  58.9 :   +59.8,   3.4,  100.0
    Blunder 8.5.5             :    870 (  457,  244,  169),  66.6 :  +108.8,   3.4,  100.0
    Djinn 1.021               :    870 (  427,  280,  163),  65.2 :  +115.4,   3.5,  100.0
    Glass 2.0                 :    869 (  454,  277,  138),  68.2 :  +128.7,   3.5,  100.0
    Rotor 0.8                 :    870 (  523,  217,  130),  72.6 :  +155.9,   3.5,  100.0
    Myrddin 0.90              :    869 (  569,  196,  104),  76.8 :  +200.2,   3.7,  100.0

29) MadChess 3.5       2784.0 :  12000 (+5070,=3232,-3698),  55.7 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Gaviota 1.0               :   1000 (  193,  294,  513),  34.0 :  -144.1,   3.5,    0.0
    Dumb 2.1                  :   1000 (  287,  249,  464),  41.1 :   -68.8,   3.2,    0.0
    Sjeng 3.0                 :   1000 (  283,  285,  432),  42.5 :   -38.1,   3.2,    0.0
    Fruit 2.3                 :   1000 (  316,  320,  364),  47.6 :   -26.0,   3.0,    0.0
    Pawny 1.2                 :   1000 (  357,  299,  344),  50.6 :    -2.6,   3.4,   21.8
    Leorik 2.3                :   1000 (  418,  282,  300),  55.9 :   +40.0,   3.3,  100.0
    Marvin 3.0                :   1000 (  416,  303,  281),  56.8 :   +57.2,   3.3,  100.0
    Blunder 8.5.5             :   1000 (  485,  269,  246),  62.0 :  +106.2,   3.3,  100.0
    Djinn 1.021               :   1000 (  516,  280,  204),  65.6 :  +112.8,   3.3,  100.0
    Glass 2.0                 :   1000 (  557,  211,  232),  66.3 :  +126.1,   3.4,  100.0
    Rotor 0.8                 :   1000 (  598,  214,  188),  70.5 :  +153.3,   3.6,  100.0
    Myrddin 0.90              :   1000 (  644,  226,  130),  75.7 :  +197.6,   3.6,  100.0

30) MadChess 3.4       2761.5 :   9567 (+3970,=2587,-3010),  55.0 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    869 (  219,  206,  444),  37.1 :   -91.3,   3.4,    0.0
    Sjeng 3.0                 :    869 (  228,  260,  381),  41.2 :   -60.6,   3.4,    0.0
    Fruit 2.3                 :    870 (  250,  246,  374),  42.9 :   -48.5,   3.3,    0.0
    Pawny 1.2                 :    870 (  302,  251,  317),  49.1 :   -25.1,   3.6,    0.0
    Leorik 2.3                :    870 (  346,  250,  274),  54.1 :   +17.5,   3.6,  100.0
    Marvin 3.0                :    870 (  342,  282,  246),  55.5 :   +34.7,   3.5,  100.0
    Blunder 8.5.5             :    870 (  420,  237,  213),  61.9 :   +83.7,   3.5,  100.0
    Djinn 1.021               :    870 (  414,  250,  206),  62.0 :   +90.3,   3.5,  100.0
    Glass 2.0                 :    870 (  439,  197,  234),  61.8 :  +103.6,   3.7,  100.0
    Rotor 0.8                 :    869 (  476,  217,  176),  67.3 :  +130.8,   3.6,  100.0
    Myrddin 0.90              :    870 (  534,  191,  145),  72.4 :  +175.1,   3.7,  100.0

31) Leorik 2.3         2744.0 :  10567 (+3951,=3018,-3598),  51.7 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  181,  275,  414),  36.6 :  -108.8,   3.3,    0.0
    Sjeng 3.0                 :    870 (  221,  215,  434),  37.8 :   -78.1,   3.2,    0.0
    Fruit 2.3                 :    870 (  233,  252,  385),  41.3 :   -66.0,   3.2,    0.0
    Pawny 1.2                 :    870 (  272,  253,  345),  45.8 :   -42.6,   3.5,    0.0
    MadChess 3.5              :   1000 (  300,  282,  418),  44.1 :   -40.0,   3.3,    0.0
    MadChess 3.4              :    870 (  274,  250,  346),  45.9 :   -17.5,   3.6,    0.0
    Marvin 3.0                :    870 (  283,  325,  262),  51.2 :   +17.2,   3.4,  100.0
    Blunder 8.5.5             :    869 (  398,  267,  204),  61.2 :   +66.2,   3.4,  100.0
    Djinn 1.021               :    870 (  418,  229,  223),  61.2 :   +72.8,   3.4,  100.0
    Glass 2.0                 :    869 (  428,  224,  217),  62.1 :   +86.1,   3.4,  100.0
    Rotor 0.8                 :    870 (  459,  214,  197),  65.1 :  +113.3,   3.5,  100.0
    Myrddin 0.90              :    869 (  484,  232,  153),  69.0 :  +157.6,   3.5,  100.0

32) Marvin 3.0         2726.8 :  10567 (+3551,=3285,-3731),  49.1 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  156,  307,  407),  35.6 :  -126.0,   3.2,    0.0
    Sjeng 3.0                 :    869 (  222,  229,  418),  38.7 :   -95.3,   3.2,    0.0
    Fruit 2.3                 :    870 (  200,  237,  433),  36.6 :   -83.2,   3.1,    0.0
    Pawny 1.2                 :    870 (  227,  262,  381),  41.1 :   -59.8,   3.4,    0.0
    MadChess 3.5              :   1000 (  281,  303,  416),  43.3 :   -57.2,   3.3,    0.0
    MadChess 3.4              :    870 (  246,  282,  342),  44.5 :   -34.7,   3.5,    0.0
    Leorik 2.3                :    870 (  262,  325,  283),  48.8 :   -17.2,   3.4,    0.0
    Blunder 8.5.5             :    870 (  296,  344,  230),  53.8 :   +49.0,   3.4,  100.0
    Djinn 1.021               :    869 (  371,  253,  245),  57.2 :   +55.6,   3.4,  100.0
    Glass 2.0                 :    870 (  402,  234,  234),  59.7 :   +68.9,   3.4,  100.0
    Rotor 0.8                 :    869 (  414,  246,  209),  61.8 :   +96.1,   3.4,  100.0
    Myrddin 0.90              :    870 (  474,  263,  133),  69.6 :  +140.4,   3.5,  100.0

33) Blunder 8.5.5      2677.8 :  10567 (+2801,=3275,-4491),  42.0 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  103,  228,  539),  24.9 :  -175.0,   3.4,    0.0
    Sjeng 3.0                 :    870 (  140,  256,  474),  30.8 :  -144.3,   3.4,    0.0
    Fruit 2.3                 :    870 (  145,  261,  464),  31.7 :  -132.2,   3.3,    0.0
    Pawny 1.2                 :    870 (  169,  244,  457),  33.4 :  -108.8,   3.4,    0.0
    MadChess 3.5              :   1000 (  246,  269,  485),  38.0 :  -106.2,   3.3,    0.0
    MadChess 3.4              :    870 (  213,  237,  420),  38.1 :   -83.7,   3.5,    0.0
    Leorik 2.3                :    869 (  204,  267,  398),  38.8 :   -66.2,   3.4,    0.0
    Marvin 3.0                :    870 (  230,  344,  296),  46.2 :   -49.0,   3.4,    0.0
    Djinn 1.021               :    869 (  274,  327,  268),  50.3 :    +6.6,   3.4,   97.5
    Glass 2.0                 :    870 (  336,  236,  298),  52.2 :   +19.9,   3.5,  100.0
    Rotor 0.8                 :    869 (  349,  288,  232),  56.7 :   +47.1,   3.6,  100.0
    Myrddin 0.90              :    870 (  392,  318,  160),  63.3 :   +91.4,   3.6,  100.0

34) Djinn 1.021        2671.2 :  10566 (+2777,=3122,-4667),  41.1 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  138,  193,  539),  27.0 :  -181.6,   3.3,    0.0
    Sjeng 3.0                 :    870 (  121,  231,  518),  27.2 :  -150.9,   3.3,    0.0
    Fruit 2.3                 :    870 (  136,  271,  463),  31.2 :  -138.8,   3.2,    0.0
    Pawny 1.2                 :    870 (  163,  280,  427),  34.8 :  -115.4,   3.5,    0.0
    MadChess 3.5              :   1000 (  204,  280,  516),  34.4 :  -112.8,   3.3,    0.0
    MadChess 3.4              :    870 (  206,  250,  414),  38.0 :   -90.3,   3.5,    0.0
    Leorik 2.3                :    870 (  223,  229,  418),  38.8 :   -72.8,   3.4,    0.0
    Marvin 3.0                :    869 (  245,  253,  371),  42.8 :   -55.6,   3.4,    0.0
    Blunder 8.5.5             :    869 (  268,  327,  274),  49.7 :    -6.6,   3.4,    2.5
    Glass 2.0                 :    869 (  321,  275,  273),  52.8 :   +13.3,   3.5,  100.0
    Rotor 0.8                 :    870 (  336,  271,  263),  54.2 :   +40.5,   3.5,  100.0
    Myrddin 0.90              :    869 (  416,  262,  191),  62.9 :   +84.8,   3.4,  100.0

35) Glass 2.0          2657.9 :  10566 (+2761,=2754,-5051),  39.2 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  133,  161,  576),  24.5 :  -194.9,   3.4,    0.0
    Sjeng 3.0                 :    870 (  133,  220,  517),  27.9 :  -164.2,   3.4,    0.0
    Fruit 2.3                 :    870 (  126,  232,  512),  27.8 :  -152.1,   3.2,    0.0
    Pawny 1.2                 :    869 (  138,  277,  454),  31.8 :  -128.7,   3.5,    0.0
    MadChess 3.5              :   1000 (  232,  211,  557),  33.8 :  -126.1,   3.4,    0.0
    MadChess 3.4              :    870 (  234,  197,  439),  38.2 :  -103.6,   3.7,    0.0
    Leorik 2.3                :    869 (  217,  224,  428),  37.9 :   -86.1,   3.4,    0.0
    Marvin 3.0                :    870 (  234,  234,  402),  40.3 :   -68.9,   3.4,    0.0
    Blunder 8.5.5             :    870 (  298,  236,  336),  47.8 :   -19.9,   3.5,    0.0
    Djinn 1.021               :    869 (  273,  275,  321),  47.2 :   -13.3,   3.5,    0.0
    Rotor 0.8                 :    869 (  351,  262,  256),  55.5 :   +27.2,   3.5,  100.0
    Myrddin 0.90              :    870 (  392,  225,  253),  58.0 :   +71.5,   3.6,  100.0

36) Rotor 0.8          2630.7 :  10566 (+2352,=2773,-5441),  35.4 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (  120,  169,  581),  23.5 :  -222.1,   3.5,    0.0
    Sjeng 3.0                 :    870 (  112,  217,  541),  25.3 :  -191.4,   3.4,    0.0
    Fruit 2.3                 :    870 (   86,  220,  564),  22.5 :  -179.3,   3.4,    0.0
    Pawny 1.2                 :    870 (  130,  217,  523),  27.4 :  -155.9,   3.5,    0.0
    MadChess 3.5              :   1000 (  188,  214,  598),  29.5 :  -153.3,   3.6,    0.0
    MadChess 3.4              :    869 (  176,  217,  476),  32.7 :  -130.8,   3.6,    0.0
    Leorik 2.3                :    870 (  197,  214,  459),  34.9 :  -113.3,   3.5,    0.0
    Marvin 3.0                :    869 (  209,  246,  414),  38.2 :   -96.1,   3.4,    0.0
    Blunder 8.5.5             :    869 (  232,  288,  349),  43.3 :   -47.1,   3.6,    0.0
    Djinn 1.021               :    870 (  263,  271,  336),  45.8 :   -40.5,   3.5,    0.0
    Glass 2.0                 :    869 (  256,  262,  351),  44.5 :   -27.2,   3.5,    0.0
    Myrddin 0.90              :    870 (  383,  238,  249),  57.7 :   +44.3,   3.6,  100.0

37) Myrddin 0.90       2586.4 :  10566 (+1751,=2742,-6073),  29.5 %

    vs.                       :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    870 (   67,  187,  616),  18.4 :  -266.4,   3.6,    0.0
    Sjeng 3.0                 :    870 (   81,  194,  595),  20.5 :  -235.7,   3.6,    0.0
    Fruit 2.3                 :    869 (   85,  210,  574),  21.9 :  -223.6,   3.5,    0.0
    Pawny 1.2                 :    869 (  104,  196,  569),  23.2 :  -200.2,   3.7,    0.0
    MadChess 3.5              :   1000 (  130,  226,  644),  24.3 :  -197.6,   3.6,    0.0
    MadChess 3.4              :    870 (  145,  191,  534),  27.6 :  -175.1,   3.7,    0.0
    Leorik 2.3                :    869 (  153,  232,  484),  31.0 :  -157.6,   3.5,    0.0
    Marvin 3.0                :    870 (  133,  263,  474),  30.4 :  -140.4,   3.5,    0.0
    Blunder 8.5.5             :    870 (  160,  318,  392),  36.7 :   -91.4,   3.6,    0.0
    Djinn 1.021               :    869 (  191,  262,  416),  37.1 :   -84.8,   3.4,    0.0
    Glass 2.0                 :    870 (  253,  225,  392),  42.0 :   -71.5,   3.6,    0.0
    Rotor 0.8                 :    870 (  249,  238,  383),  42.3 :   -44.3,   3.6,    0.0

