Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    iCE 4.0                   :    100 (   7,  48,  45),  31.0 :  -142.2,   8.1,    0.0
    Weiss 1.3                 :    100 (  10,  51,  39),  35.5 :  -138.1,   9.8,    0.0
    Orion 1.0                 :    100 (  17,  38,  45),  36.0 :  -135.8,   9.7,    0.0
    Senpai 2.0                :    100 (  12,  47,  41),  35.5 :  -106.2,   9.8,    0.0
    Rodent 4                  :    100 (  12,  51,  37),  37.5 :   -52.5,   9.8,    0.0
    Crafty 25.3               :    200 (  50, 104,  46),  51.0 :   +10.3,   8.7,   88.0
    Gaviota 1.0               :    200 (  87,  76,  37),  62.5 :   +83.4,   8.7,  100.0
    Sjeng 3.0                 :    100 (  46,  36,  18),  64.0 :  +118.6,   9.5,  100.0
    Dumb 2.1                  :    100 (  45,  36,  19),  63.0 :  +122.2,   9.6,  100.0
    Pawny 1.2                 :    100 (  55,  35,  10),  72.5 :  +157.8,   9.9,  100.0

23) Crafty 25.3        2947.5 :   1600 (+327,=638,-635),  40.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,   8,  92),   4.0 :  -461.9,  10.8,    0.0
    Hiarcs 15.3.1             :    100 (   0,  25,  75),  12.5 :  -334.1,  10.0,    0.0
    Shredder 13               :    100 (   2,  32,  66),  18.0 :  -266.2,   9.8,    0.0
    Demolito 20211004         :    100 (   4,  43,  53),  25.5 :  -189.2,  10.0,    0.0
    iCE 4.0                   :    100 (   8,  41,  51),  28.5 :  -152.5,   8.1,    0.0
    Weiss 1.3                 :    100 (   8,  47,  45),  31.5 :  -148.4,  10.1,    0.0
    Orion 1.0                 :    100 (  16,  35,  49),  33.5 :  -146.0,  10.0,    0.0
    Senpai 2.0                :    100 (  12,  45,  43),  34.5 :  -116.5,  10.0,    0.0
    Rodent 4                  :    100 (  15,  51,  34),  40.5 :   -62.7,  10.0,    0.0
    Spike 1.4                 :    200 (  46, 104,  50),  49.0 :   -10.3,   8.7,   12.0
    Gaviota 1.0               :    200 (  89,  78,  33),  64.0 :   +73.1,   9.0,  100.0
    Sjeng 3.0                 :    100 (  39,  50,  11),  64.0 :  +108.3,   9.6,  100.0
    Dumb 2.1                  :    100 (  49,  32,  19),  65.0 :  +112.0,   9.3,  100.0
    Pawny 1.2                 :    100 (  39,  47,  14),  62.5 :  +147.6,  10.1,  100.0

24) Gaviota 1.0        2874.4 :   1600 (+223,=543,-834),  30.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    100 (   0,   7,  93),   3.5 :  -535.0,  11.0,    0.0
    Hiarcs 15.3.1             :    100 (   1,  20,  79),  11.0 :  -407.2,  10.1,    0.0
    Shredder 13               :    100 (   0,  18,  82),   9.0 :  -339.4,   9.9,    0.0
    Demolito 20211004         :    100 (   3,  35,  62),  20.5 :  -262.4,  10.3,    0.0
    iCE 4.0                   :    100 (   4,  39,  57),  23.5 :  -225.6,   8.5,    0.0
    Weiss 1.3                 :    100 (   4,  42,  54),  25.0 :  -221.5,  10.2,    0.0
    Orion 1.0                 :    100 (   7,  34,  59),  24.0 :  -219.2,  10.2,    0.0
    Senpai 2.0                :    100 (  11,  35,  54),  28.5 :  -189.6,  10.1,    0.0
    Rodent 4                  :    100 (   8,  41,  51),  28.5 :  -135.9,  10.0,    0.0
    Spike 1.4                 :    200 (  37,  76,  87),  37.5 :   -83.4,   8.7,    0.0
    Crafty 25.3               :    200 (  33,  78,  89),  36.0 :   -73.1,   9.0,    0.0
    Sjeng 3.0                 :    100 (  35,  39,  26),  54.5 :   +35.2,   9.7,  100.0
    Dumb 2.1                  :    100 (  37,  42,  21),  58.0 :   +38.8,   9.5,  100.0
    Pawny 1.2                 :    100 (  43,  37,  20),  61.5 :   +74.4,   9.9,  100.0

25) MadChess 3.4       2844.6 :   1100 (+536,=387,-177),  66.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Sjeng 3.0                 :    100 (  31,  42,  27),  52.0 :    +5.4,   9.9,   70.5
    Dumb 2.1                  :    100 (  35,  38,  27),  54.0 :    +9.0,   9.7,   82.5
    Pawny 1.2                 :    100 (  47,  39,  14),  66.5 :   +44.6,   9.5,  100.0
    Fruit 2.3                 :    100 (  38,  40,  22),  58.0 :   +49.6,   9.2,  100.0
    Marvin 3.0                :    100 (  46,  36,  18),  64.0 :  +102.2,  10.1,  100.0
    Leorik 2.3                :    100 (  51,  34,  15),  68.0 :  +117.8,   9.9,  100.0
    Blunder 8.5.5             :    100 (  49,  40,  11),  69.0 :  +154.1,  10.2,  100.0
    Rotor 0.8                 :    100 (  66,  25,   9),  78.5 :  +210.9,   9.9,  100.0
    Djinn 1.021               :    100 (  54,  32,  14),  70.0 :  +211.8,   9.6,  100.0
    Myrddin 0.90              :    100 (  54,  37,   9),  72.5 :  +217.8,   9.6,  100.0
    Glass 2.0                 :    100 (  65,  24,  11),  77.0 :  +263.8,   9.8,  100.0

26) Sjeng 3.0          2839.2 :   1600 (+637,=609,-354),  58.8 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Spike 1.4                 :    100 (  18,  36,  46),  36.0 :  -118.6,   9.5,    0.0
    Crafty 25.3               :    100 (  11,  50,  39),  36.0 :  -108.3,   9.6,    0.0
    Gaviota 1.0               :    100 (  26,  39,  35),  45.5 :   -35.2,   9.7,    0.0
    MadChess 3.4              :    100 (  27,  42,  31),  48.0 :    -5.4,   9.9,   29.5
    Dumb 2.1                  :    200 (  72,  67,  61),  52.8 :    +3.7,   8.1,   67.5
    Pawny 1.2                 :    200 (  64,  91,  45),  54.8 :   +39.3,   8.4,  100.0
    Fruit 2.3                 :    100 (  30,  54,  16),  57.0 :   +44.2,   7.9,  100.0
    Marvin 3.0                :    100 (  41,  42,  17),  62.0 :   +96.8,   9.2,  100.0
    Leorik 2.3                :    100 (  40,  41,  19),  60.5 :  +112.4,   9.1,  100.0
    Blunder 8.5.5             :    100 (  55,  30,  15),  70.0 :  +148.8,   9.7,  100.0
    Rotor 0.8                 :    100 (  66,  30,   4),  81.0 :  +205.6,   8.9,  100.0
    Djinn 1.021               :    100 (  60,  32,   8),  76.0 :  +206.4,   8.7,  100.0
    Myrddin 0.90              :    100 (  62,  29,   9),  76.5 :  +212.4,   8.7,  100.0
    Glass 2.0                 :    100 (  65,  26,   9),  78.0 :  +258.4,   8.8,  100.0

27) Dumb 2.1           2835.5 :   1600 (+650,=566,-384),  58.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Spike 1.4                 :    100 (  19,  36,  45),  37.0 :  -122.2,   9.6,    0.0
    Crafty 25.3               :    100 (  19,  32,  49),  35.0 :  -112.0,   9.3,    0.0
    Gaviota 1.0               :    100 (  21,  42,  37),  42.0 :   -38.8,   9.5,    0.0
    MadChess 3.4              :    100 (  27,  38,  35),  46.0 :    -9.0,   9.7,   17.5
    Sjeng 3.0                 :    200 (  61,  67,  72),  47.3 :    -3.7,   8.1,   32.5
    Pawny 1.2                 :    200 (  85,  62,  53),  58.0 :   +35.6,   8.1,  100.0
    Fruit 2.3                 :    100 (  44,  31,  25),  59.5 :   +40.5,   7.6,  100.0
    Marvin 3.0                :    100 (  35,  43,  22),  56.5 :   +93.1,   9.4,  100.0
    Leorik 2.3                :    100 (  37,  50,  13),  62.0 :  +108.7,   9.3,  100.0
    Blunder 8.5.5             :    100 (  46,  48,   6),  70.0 :  +145.1,   9.3,  100.0
    Rotor 0.8                 :    100 (  66,  28,   6),  80.0 :  +201.9,   9.1,  100.0
    Djinn 1.021               :    100 (  60,  32,   8),  76.0 :  +202.7,   8.6,  100.0
    Myrddin 0.90              :    100 (  61,  33,   6),  77.5 :  +208.7,   8.8,  100.0
    Glass 2.0                 :    100 (  69,  24,   7),  81.0 :  +254.8,   8.9,  100.0

28) Pawny 1.2          2799.9 :   1600 (+553,=594,-453),  53.1 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Spike 1.4                 :    100 (  10,  35,  55),  27.5 :  -157.8,   9.9,    0.0
    Crafty 25.3               :    100 (  14,  47,  39),  37.5 :  -147.6,  10.1,    0.0
    Gaviota 1.0               :    100 (  20,  37,  43),  38.5 :   -74.4,   9.9,    0.0
    MadChess 3.4              :    100 (  14,  39,  47),  33.5 :   -44.6,   9.5,    0.0
    Sjeng 3.0                 :    200 (  45,  91,  64),  45.3 :   -39.3,   8.4,    0.0
    Dumb 2.1                  :    200 (  53,  62,  85),  42.0 :   -35.6,   8.1,    0.0
    Fruit 2.3                 :    100 (  23,  50,  27),  48.0 :    +4.9,   7.9,   73.4
    Marvin 3.0                :    100 (  42,  41,  17),  62.5 :   +57.5,   9.4,  100.0
    Leorik 2.3                :    100 (  46,  34,  20),  63.0 :   +73.1,   9.2,  100.0
    Blunder 8.5.5             :    100 (  48,  39,  13),  67.5 :  +109.5,   9.5,  100.0
    Rotor 0.8                 :    100 (  57,  30,  13),  72.0 :  +166.3,   9.1,  100.0
    Djinn 1.021               :    100 (  60,  26,  14),  73.0 :  +167.2,   8.6,  100.0
    Myrddin 0.90              :    100 (  63,  27,  10),  76.5 :  +173.1,   9.1,  100.0
    Glass 2.0                 :    100 (  58,  36,   6),  76.0 :  +219.2,   9.1,  100.0

29) Fruit 2.3          2795.0 :   1100 (+462,=408,-230),  60.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  22,  40,  38),  42.0 :   -49.6,   9.2,    0.0
    Sjeng 3.0                 :    100 (  16,  54,  30),  43.0 :   -44.2,   7.9,    0.0
    Dumb 2.1                  :    100 (  25,  31,  44),  40.5 :   -40.5,   7.6,    0.0
    Pawny 1.2                 :    100 (  27,  50,  23),  52.0 :    -4.9,   7.9,   26.6
    Marvin 3.0                :    100 (  44,  33,  23),  60.5 :   +52.6,   8.6,  100.0
    Leorik 2.3                :    100 (  45,  36,  19),  63.0 :   +68.2,   8.7,  100.0
    Blunder 8.5.5             :    100 (  52,  32,  16),  68.0 :  +104.5,   8.7,  100.0
    Rotor 0.8                 :    100 (  46,  40,  14),  66.0 :  +161.4,   7.8,  100.0
    Djinn 1.021               :    100 (  54,  37,   9),  72.5 :  +162.2,   7.5,  100.0
    Myrddin 0.90              :    100 (  64,  28,   8),  78.0 :  +168.2,   7.9,  100.0
    Glass 2.0                 :    100 (  67,  27,   6),  80.5 :  +214.2,   7.8,  100.0

30) Marvin 3.0         2742.4 :   1100 (+348,=446,-306),  51.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  18,  36,  46),  36.0 :  -102.2,  10.1,    0.0
    Sjeng 3.0                 :    100 (  17,  42,  41),  38.0 :   -96.8,   9.2,    0.0
    Dumb 2.1                  :    100 (  22,  43,  35),  43.5 :   -93.1,   9.4,    0.0
    Pawny 1.2                 :    100 (  17,  41,  42),  37.5 :   -57.5,   9.4,    0.0
    Fruit 2.3                 :    100 (  23,  33,  44),  39.5 :   -52.6,   8.6,    0.0
    Leorik 2.3                :    100 (  23,  54,  23),  50.0 :   +15.6,   9.8,   94.4
    Blunder 8.5.5             :    100 (  38,  48,  14),  62.0 :   +52.0,   9.8,  100.0
    Rotor 0.8                 :    100 (  42,  37,  21),  60.5 :  +108.8,   9.2,  100.0
    Djinn 1.021               :    100 (  51,  33,  16),  67.5 :  +109.6,   9.2,  100.0
    Myrddin 0.90              :    100 (  43,  44,  13),  65.0 :  +115.6,   9.2,  100.0
    Glass 2.0                 :    100 (  54,  35,  11),  71.5 :  +161.6,   9.3,  100.0

31) Leorik 2.3         2726.8 :   1100 (+328,=436,-336),  49.6 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  15,  34,  51),  32.0 :  -117.8,   9.9,    0.0
    Sjeng 3.0                 :    100 (  19,  41,  40),  39.5 :  -112.4,   9.1,    0.0
    Dumb 2.1                  :    100 (  13,  50,  37),  38.0 :  -108.7,   9.3,    0.0
    Pawny 1.2                 :    100 (  20,  34,  46),  37.0 :   -73.1,   9.2,    0.0
    Fruit 2.3                 :    100 (  19,  36,  45),  37.0 :   -68.2,   8.7,    0.0
    Marvin 3.0                :    100 (  23,  54,  23),  50.0 :   -15.6,   9.8,    5.6
    Blunder 8.5.5             :    100 (  30,  40,  30),  50.0 :   +36.3,   9.7,  100.0
    Rotor 0.8                 :    100 (  51,  34,  15),  68.0 :   +93.2,   9.2,  100.0
    Djinn 1.021               :    100 (  39,  41,  20),  59.5 :   +94.0,   9.0,  100.0
    Myrddin 0.90              :    100 (  44,  42,  14),  65.0 :  +100.0,   9.2,  100.0
    Glass 2.0                 :    100 (  55,  30,  15),  70.0 :  +146.0,   9.0,  100.0

32) Blunder 8.5.5      2690.5 :   1100 (+276,=424,-400),  44.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  11,  40,  49),  31.0 :  -154.1,  10.2,    0.0
    Sjeng 3.0                 :    100 (  15,  30,  55),  30.0 :  -148.8,   9.7,    0.0
    Dumb 2.1                  :    100 (   6,  48,  46),  30.0 :  -145.1,   9.3,    0.0
    Pawny 1.2                 :    100 (  13,  39,  48),  32.5 :  -109.5,   9.5,    0.0
    Fruit 2.3                 :    100 (  16,  32,  52),  32.0 :  -104.5,   8.7,    0.0
    Marvin 3.0                :    100 (  14,  48,  38),  38.0 :   -52.0,   9.8,    0.0
    Leorik 2.3                :    100 (  30,  40,  30),  50.0 :   -36.3,   9.7,    0.0
    Rotor 0.8                 :    100 (  41,  36,  23),  59.0 :   +56.8,   9.4,  100.0
    Djinn 1.021               :    100 (  42,  31,  27),  57.5 :   +57.7,   9.2,  100.0
    Myrddin 0.90              :    100 (  42,  43,  15),  63.5 :   +63.7,   9.3,  100.0
    Glass 2.0                 :    100 (  46,  37,  17),  64.5 :  +109.7,   9.4,  100.0

33) Floyd 0.9          2650.9 :   1600 (+1052,=342,-206),  76.4 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Rotor 0.8                 :    100 (   30,  39,  31),  49.5 :   +17.2,  10.1,   95.7
    Djinn 1.021               :    100 (   43,  31,  26),  58.5 :   +18.1,  10.0,   96.5
    Myrddin 0.90              :    100 (   32,  37,  31),  50.5 :   +24.1,   9.9,   99.2
    Glass 2.0                 :    100 (   52,  26,  22),  65.0 :   +70.1,  10.1,  100.0
    Hermann 2.8               :    100 (   58,  28,  14),  72.0 :  +101.9,  11.9,  100.0
    Maverick 1.5              :    200 (  106,  67,  27),  69.8 :  +125.9,   8.9,  100.0
    Cosette 5.1               :    100 (   65,  22,  13),  76.0 :  +202.9,  11.8,  100.0
    BikJump 3.1               :    100 (   70,  19,  11),  79.5 :  +218.2,  11.7,  100.0
    Gaia 3.5                  :    100 (   62,  22,  16),  73.0 :  +229.1,  11.8,  100.0
    Sungorus 1.4              :    100 (   77,  17,   6),  85.5 :  +356.9,  12.7,  100.0
    Napoleon 1.8              :    100 (   75,  19,   6),  84.5 :  +389.3,  12.6,  100.0
    Faile 1.4                 :    100 (   93,   6,   1),  96.0 :  +706.0,  15.8,  100.0
    Rustic Alpha 3.0.0        :    100 (   94,   4,   2),  96.0 :  +754.5,  15.8,  100.0
    Walleye 1.6.0             :    100 (   97,   3,   0),  98.5 :  +781.7,  16.7,  100.0
    TSCP 1.81                 :    100 (   98,   2,   0),  99.0 :  +944.3,  19.0,  100.0

34) Rotor 0.8          2633.6 :   1600 (+381,=580,-639),  41.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (   9,  25,  66),  21.5 :  -210.9,   9.9,    0.0
    Sjeng 3.0                 :    100 (   4,  30,  66),  19.0 :  -205.6,   8.9,    0.0
    Dumb 2.1                  :    100 (   6,  28,  66),  20.0 :  -201.9,   9.1,    0.0
    Pawny 1.2                 :    100 (  13,  30,  57),  28.0 :  -166.3,   9.1,    0.0
    Fruit 2.3                 :    100 (  14,  40,  46),  34.0 :  -161.4,   7.8,    0.0
    Marvin 3.0                :    100 (  21,  37,  42),  39.5 :  -108.8,   9.2,    0.0
    Leorik 2.3                :    100 (  15,  34,  51),  32.0 :   -93.2,   9.2,    0.0
    Blunder 8.5.5             :    100 (  23,  36,  41),  41.0 :   -56.8,   9.4,    0.0
    Floyd 0.9                 :    100 (  31,  39,  30),  50.5 :   -17.2,  10.1,    4.3
    Djinn 1.021               :    200 (  56,  92,  52),  51.0 :    +0.9,   8.4,   54.1
    Myrddin 0.90              :    200 (  61,  83,  56),  51.3 :    +6.8,   8.4,   79.3
    Glass 2.0                 :    200 (  79,  76,  45),  58.5 :   +52.9,   8.5,  100.0
    Maverick 1.5              :    100 (  49,  30,  21),  64.0 :  +108.6,   7.8,  100.0

35) Djinn 1.021        2632.8 :   1600 (+381,=576,-643),  41.8 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  14,  32,  54),  30.0 :  -211.8,   9.6,    0.0
    Sjeng 3.0                 :    100 (   8,  32,  60),  24.0 :  -206.4,   8.7,    0.0
    Dumb 2.1                  :    100 (   8,  32,  60),  24.0 :  -202.7,   8.6,    0.0
    Pawny 1.2                 :    100 (  14,  26,  60),  27.0 :  -167.2,   8.6,    0.0
    Fruit 2.3                 :    100 (   9,  37,  54),  27.5 :  -162.2,   7.5,    0.0
    Marvin 3.0                :    100 (  16,  33,  51),  32.5 :  -109.6,   9.2,    0.0
    Leorik 2.3                :    100 (  20,  41,  39),  40.5 :   -94.0,   9.0,    0.0
    Blunder 8.5.5             :    100 (  27,  31,  42),  42.5 :   -57.7,   9.2,    0.0
    Floyd 0.9                 :    100 (  26,  31,  43),  41.5 :   -18.1,  10.0,    3.5
    Rotor 0.8                 :    200 (  52,  92,  56),  49.0 :    -0.9,   8.4,   45.9
    Myrddin 0.90              :    200 (  66,  78,  56),  52.5 :    +6.0,   8.1,   77.0
    Glass 2.0                 :    200 (  74,  74,  52),  55.5 :   +52.0,   8.1,  100.0
    Maverick 1.5              :    100 (  47,  37,  16),  65.5 :  +107.8,   7.5,  100.0

36) Myrddin 0.90       2626.8 :   1600 (+369,=572,-659),  40.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (   9,  37,  54),  27.5 :  -217.8,   9.6,    0.0
    Sjeng 3.0                 :    100 (   9,  29,  62),  23.5 :  -212.4,   8.7,    0.0
    Dumb 2.1                  :    100 (   6,  33,  61),  22.5 :  -208.7,   8.8,    0.0
    Pawny 1.2                 :    100 (  10,  27,  63),  23.5 :  -173.1,   9.1,    0.0
    Fruit 2.3                 :    100 (   8,  28,  64),  22.0 :  -168.2,   7.9,    0.0
    Marvin 3.0                :    100 (  13,  44,  43),  35.0 :  -115.6,   9.2,    0.0
    Leorik 2.3                :    100 (  14,  42,  44),  35.0 :  -100.0,   9.2,    0.0
    Blunder 8.5.5             :    100 (  15,  43,  42),  36.5 :   -63.7,   9.3,    0.0
    Floyd 0.9                 :    100 (  31,  37,  32),  49.5 :   -24.1,   9.9,    0.8
    Rotor 0.8                 :    200 (  56,  83,  61),  48.8 :    -6.8,   8.4,   20.7
    Djinn 1.021               :    200 (  56,  78,  66),  47.5 :    -6.0,   8.1,   23.0
    Glass 2.0                 :    200 (  87,  61,  52),  58.8 :   +46.0,   8.3,  100.0
    Maverick 1.5              :    100 (  55,  30,  15),  70.0 :  +101.8,   7.9,  100.0

37) Glass 2.0          2580.8 :   1600 (+294,=512,-794),  34.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    MadChess 3.4              :    100 (  11,  24,  65),  23.0 :  -263.8,   9.8,    0.0
    Sjeng 3.0                 :    100 (   9,  26,  65),  22.0 :  -258.4,   8.8,    0.0
    Dumb 2.1                  :    100 (   7,  24,  69),  19.0 :  -254.8,   8.9,    0.0
    Pawny 1.2                 :    100 (   6,  36,  58),  24.0 :  -219.2,   9.1,    0.0
    Fruit 2.3                 :    100 (   6,  27,  67),  19.5 :  -214.2,   7.8,    0.0
    Marvin 3.0                :    100 (  11,  35,  54),  28.5 :  -161.6,   9.3,    0.0
    Leorik 2.3                :    100 (  15,  30,  55),  30.0 :  -146.0,   9.0,    0.0
    Blunder 8.5.5             :    100 (  17,  37,  46),  35.5 :  -109.7,   9.4,    0.0
    Floyd 0.9                 :    100 (  22,  26,  52),  35.0 :   -70.1,  10.1,    0.0
    Rotor 0.8                 :    200 (  45,  76,  79),  41.5 :   -52.9,   8.5,    0.0
    Djinn 1.021               :    200 (  52,  74,  74),  44.5 :   -52.0,   8.1,    0.0
    Myrddin 0.90              :    200 (  52,  61,  87),  41.3 :   -46.0,   8.3,    0.0
    Maverick 1.5              :    100 (  41,  36,  23),  59.0 :   +55.8,   7.8,  100.0

38) Hermann 2.8        2548.9 :   1100 (+748,=190,-162),  76.6 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (  14,  28,  58),  28.0 :  -101.9,  11.9,    0.0
    Maverick 1.5              :    100 (  37,  37,  26),  55.5 :   +23.9,  11.4,   98.2
    Cosette 5.1               :    100 (  49,  25,  26),  61.5 :  +100.9,  12.1,  100.0
    BikJump 3.1               :    100 (  57,  28,  15),  71.0 :  +116.3,  12.2,  100.0
    Gaia 3.5                  :    100 (  54,  19,  27),  63.5 :  +127.1,  12.4,  100.0
    Sungorus 1.4              :    100 (  76,  21,   3),  86.5 :  +254.9,  13.1,  100.0
    Napoleon 1.8              :    100 (  73,  21,   6),  83.5 :  +287.4,  13.2,  100.0
    Faile 1.4                 :    100 (  96,   3,   1),  97.5 :  +604.0,  16.2,  100.0
    Rustic Alpha 3.0.0        :    100 (  95,   5,   0),  97.5 :  +652.5,  16.6,  100.0
    Walleye 1.6.0             :    100 ( 100,   0,   0), 100.0 :  +679.8,  17.3,  100.0
    TSCP 1.81                 :    100 (  97,   3,   0),  98.5 :  +842.4,  20.0,  100.0

39) Maverick 1.5       2525.0 :   1600 (+799,=398,-403),  62.4 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (  27,  67, 106),  30.3 :  -125.9,   8.9,    0.0
    Rotor 0.8                 :    100 (  21,  30,  49),  36.0 :  -108.6,   7.8,    0.0
    Djinn 1.021               :    100 (  16,  37,  47),  34.5 :  -107.8,   7.5,    0.0
    Myrddin 0.90              :    100 (  15,  30,  55),  30.0 :  -101.8,   7.9,    0.0
    Glass 2.0                 :    100 (  23,  36,  41),  41.0 :   -55.8,   7.8,    0.0
    Hermann 2.8               :    100 (  26,  37,  37),  44.5 :   -23.9,  11.4,    1.8
    Cosette 5.1               :    100 (  44,  36,  20),  62.0 :   +77.0,  11.4,  100.0
    BikJump 3.1               :    100 (  45,  37,  18),  63.5 :   +92.4,  11.4,  100.0
    Gaia 3.5                  :    100 (  53,  29,  18),  67.5 :  +103.2,  11.2,  100.0
    Sungorus 1.4              :    100 (  70,  24,   6),  82.0 :  +231.0,  12.3,  100.0
    Napoleon 1.8              :    100 (  76,  19,   5),  85.5 :  +263.5,  12.2,  100.0
    Faile 1.4                 :    100 (  93,   7,   0),  96.5 :  +580.1,  15.6,  100.0
    Rustic Alpha 3.0.0        :    100 (  95,   4,   1),  97.0 :  +628.6,  16.1,  100.0
    Walleye 1.6.0             :    100 (  98,   2,   0),  99.0 :  +655.9,  16.6,  100.0
    TSCP 1.81                 :    100 (  97,   3,   0),  98.5 :  +818.5,  19.1,  100.0

40) Cosette 5.1        2448.0 :   1100 (+635,=201,-264),  66.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (  13,  22,  65),  24.0 :  -202.9,  11.8,    0.0
    Hermann 2.8               :    100 (  26,  25,  49),  38.5 :  -100.9,  12.1,    0.0
    Maverick 1.5              :    100 (  20,  36,  44),  38.0 :   -77.0,  11.4,    0.0
    BikJump 3.1               :    100 (  40,  22,  38),  51.0 :   +15.4,  11.8,   90.4
    Gaia 3.5                  :    100 (  39,  23,  38),  50.5 :   +26.2,  11.8,   98.7
    Sungorus 1.4              :    100 (  61,  25,  14),  73.5 :  +154.0,  12.5,  100.0
    Napoleon 1.8              :    100 (  65,  24,  11),  77.0 :  +186.5,  12.2,  100.0
    Faile 1.4                 :    100 (  90,   8,   2),  94.0 :  +503.1,  15.5,  100.0
    Rustic Alpha 3.0.0        :    100 (  93,   7,   0),  96.5 :  +551.6,  16.2,  100.0
    Walleye 1.6.0             :    100 (  96,   2,   2),  97.0 :  +578.9,  16.6,  100.0
    TSCP 1.81                 :    100 (  92,   7,   1),  95.5 :  +741.5,  18.8,  100.0

41) BikJump 3.1        2432.6 :   1100 (+614,=209,-277),  65.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (  11,  19,  70),  20.5 :  -218.2,  11.7,    0.0
    Hermann 2.8               :    100 (  15,  28,  57),  29.0 :  -116.3,  12.2,    0.0
    Maverick 1.5              :    100 (  18,  37,  45),  36.5 :   -92.4,  11.4,    0.0
    Cosette 5.1               :    100 (  38,  22,  40),  49.0 :   -15.4,  11.8,    9.6
    Gaia 3.5                  :    100 (  40,  31,  29),  55.5 :   +10.8,  12.1,   81.4
    Sungorus 1.4              :    100 (  59,  24,  17),  71.0 :  +138.6,  12.1,  100.0
    Napoleon 1.8              :    100 (  58,  29,  13),  72.5 :  +171.1,  12.8,  100.0
    Faile 1.4                 :    100 (  92,   7,   1),  95.5 :  +487.8,  15.6,  100.0
    Rustic Alpha 3.0.0        :    100 (  95,   2,   3),  96.0 :  +536.2,  15.7,  100.0
    Walleye 1.6.0             :    100 (  90,   8,   2),  94.0 :  +563.5,  16.6,  100.0
    TSCP 1.81                 :    100 (  98,   2,   0),  99.0 :  +726.1,  19.1,  100.0

42) Gaia 3.5           2421.8 :   1100 (+609,=195,-296),  64.2 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    100 (  16,  22,  62),  27.0 :  -229.1,  11.8,    0.0
    Hermann 2.8               :    100 (  27,  19,  54),  36.5 :  -127.1,  12.4,    0.0
    Maverick 1.5              :    100 (  18,  29,  53),  32.5 :  -103.2,  11.2,    0.0
    Cosette 5.1               :    100 (  38,  23,  39),  49.5 :   -26.2,  11.8,    1.3
    BikJump 3.1               :    100 (  29,  31,  40),  44.5 :   -10.8,  12.1,   18.6
    Sungorus 1.4              :    100 (  48,  22,  30),  59.0 :  +127.8,  12.2,  100.0
    Napoleon 1.8              :    100 (  58,  30,  12),  73.0 :  +160.3,  11.8,  100.0
    Faile 1.4                 :    100 (  92,   5,   3),  94.5 :  +476.9,  15.7,  100.0
    Rustic Alpha 3.0.0        :    100 (  93,   5,   2),  95.5 :  +525.4,  15.6,  100.0
    Walleye 1.6.0             :    100 (  93,   6,   1),  96.0 :  +552.7,  16.5,  100.0
    TSCP 1.81                 :    100 (  97,   3,   0),  98.5 :  +715.3,  18.6,  100.0

43) Sungorus 1.4       2294.0 :   1100 (+465,=203,-432),  51.5 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
