Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    iCE 4.0                   :    200 (  24,   77,   99),  31.3 :  -154.8,   5.9,    0.0
    Orion 1.0                 :    200 (  34,   73,   93),  35.3 :  -137.5,   7.2,    0.0
    Senpai 2.0                :    200 (  24,   80,   96),  32.0 :  -136.8,   7.0,    0.0
    Rodent 4                  :    200 (  37,   98,   65),  43.0 :   -67.5,   7.1,    0.0
    Spike 1.4                 :    400 ( 105,  195,  100),  50.6 :    +6.3,   6.4,   83.6
    Gaviota 1.0               :    400 ( 157,  150,   93),  58.0 :   +53.1,   6.2,  100.0
    Dumb 2.1                  :    200 (  78,   81,   41),  59.3 :  +105.5,   7.0,  100.0
    Sjeng 3.0                 :    200 (  94,   71,   35),  64.8 :  +113.2,   7.0,  100.0
    Pawny 1.2                 :    200 ( 108,   73,   19),  72.3 :  +162.9,   7.0,  100.0

23) Spike 1.4          2968.9 :   3200 (+634,=1226,-1340),  39.0 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,   25,  175),   6.3 :  -502.0,   7.7,    0.0
    Hiarcs 15.3.1             :    200 (   0,   46,  154),  11.5 :  -365.2,   7.6,    0.0
    Shredder 13               :    200 (   2,   61,  137),  16.3 :  -280.5,   7.1,    0.0
    Demolito 20211004         :    200 (   7,   78,  115),  23.0 :  -214.6,   7.3,    0.0
    Weiss 1.3                 :    200 (  20,   74,  106),  28.5 :  -174.2,   7.3,    0.0
    iCE 4.0                   :    200 (  20,   80,  100),  30.0 :  -161.1,   5.8,    0.0
    Orion 1.0                 :    200 (  25,   85,   90),  33.8 :  -143.8,   7.1,    0.0
    Senpai 2.0                :    200 (  12,   85,  103),  27.3 :  -143.1,   7.0,    0.0
    Rodent 4                  :    200 (  39,  101,   60),  44.8 :   -73.8,   7.2,    0.0
    Crafty 25.3               :    400 ( 100,  195,  105),  49.4 :    -6.3,   6.4,   16.4
    Gaviota 1.0               :    400 ( 133,  161,  106),  53.4 :   +46.8,   6.1,  100.0
    Dumb 2.1                  :    200 (  84,   66,   50),  58.5 :   +99.2,   7.0,  100.0
    Sjeng 3.0                 :    200 (  88,   88,   24),  66.0 :  +106.9,   6.9,  100.0
    Pawny 1.2                 :    200 ( 104,   81,   15),  72.3 :  +156.6,   6.9,  100.0

24) Gaviota 1.0        2922.0 :   3200 (+530,=1048,-1622),  32.9 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Texel 1.11                :    200 (   0,   24,  176),   6.0 :  -548.8,   7.5,    0.0
    Hiarcs 15.3.1             :    200 (   1,   35,  164),   9.3 :  -412.0,   7.4,    0.0
    Shredder 13               :    200 (   0,   44,  156),  11.0 :  -327.3,   7.1,    0.0
    Demolito 20211004         :    200 (   8,   62,  130),  19.5 :  -261.4,   7.4,    0.0
    Weiss 1.3                 :    200 (   7,   66,  127),  20.0 :  -221.1,   7.4,    0.0
    iCE 4.0                   :    200 (  12,   65,  123),  22.3 :  -208.0,   5.9,    0.0
    Orion 1.0                 :    200 (  35,   65,  100),  33.8 :  -190.6,   7.1,    0.0
    Senpai 2.0                :    200 (  16,   70,  114),  25.5 :  -189.9,   7.3,    0.0
    Rodent 4                  :    200 (  24,   83,   93),  32.8 :  -120.7,   7.2,    0.0
    Crafty 25.3               :    400 (  93,  150,  157),  42.0 :   -53.1,   6.2,    0.0
    Spike 1.4                 :    400 ( 106,  161,  133),  46.6 :   -46.8,   6.1,    0.0
    Dumb 2.1                  :    200 (  67,   79,   54),  53.3 :   +52.3,   7.0,  100.0
    Sjeng 3.0                 :    200 (  79,   72,   49),  57.5 :   +60.1,   6.9,  100.0
    Pawny 1.2                 :    200 (  82,   72,   46),  59.0 :  +109.8,   6.9,  100.0

25) Dumb 2.1           2869.7 :   3200 (+1419,=1026,-755),  60.4 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   41,   81,  78),  40.8 :  -105.5,   7.0,    0.0
    Spike 1.4                 :    200 (   50,   66,  84),  41.5 :   -99.2,   7.0,    0.0
    Gaviota 1.0               :    200 (   54,   79,  67),  46.8 :   -52.3,   7.0,    0.0
    Sjeng 3.0                 :    400 (  137,  124, 139),  49.8 :    +7.8,   6.2,   89.7
    MadChess 3.4              :    200 (   67,   62,  71),  49.0 :   +23.4,   7.0,  100.0
    Pawny 1.2                 :    400 (  171,  128, 101),  58.8 :   +57.4,   6.1,  100.0
    Fruit 2.3                 :    200 (   82,   64,  54),  57.0 :   +59.7,   5.7,  100.0
    Marvin 3.0                :    200 (   92,   73,  35),  64.3 :  +119.5,   6.9,  100.0
    Leorik 2.3                :    200 (   95,   71,  34),  65.3 :  +138.5,   6.8,  100.0
    Blunder 8.5.5             :    200 (  103,   74,  23),  70.0 :  +156.4,   7.1,  100.0
    Djinn 1.021               :    200 (  121,   50,  29),  73.0 :  +216.5,   6.5,  100.0
    Glass 2.0                 :    200 (  152,   40,   8),  86.0 :  +234.7,   6.5,  100.0
    Myrddin 0.90              :    200 (  129,   53,  18),  77.8 :  +236.2,   6.5,  100.0
    Rotor 0.8                 :    200 (  125,   61,  14),  77.8 :  +238.8,   6.5,  100.0

26) Sjeng 3.0          2861.9 :   3200 (+1355,=1083,-762),  59.3 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   35,   71,  94),  35.3 :  -113.2,   7.0,    0.0
    Spike 1.4                 :    200 (   24,   88,  88),  34.0 :  -106.9,   6.9,    0.0
    Gaviota 1.0               :    200 (   49,   72,  79),  42.5 :   -60.1,   6.9,    0.0
    Dumb 2.1                  :    400 (  139,  124, 137),  50.3 :    -7.8,   6.2,   10.3
    MadChess 3.4              :    200 (   65,   83,  52),  53.3 :   +15.6,   6.8,   98.9
    Pawny 1.2                 :    400 (  142,  159,  99),  55.4 :   +49.7,   5.9,  100.0
    Fruit 2.3                 :    200 (   79,   70,  51),  57.0 :   +51.9,   5.7,  100.0
    Marvin 3.0                :    200 (   90,   75,  35),  63.8 :  +111.8,   6.8,  100.0
    Leorik 2.3                :    200 (  112,   53,  35),  69.3 :  +130.8,   6.9,  100.0
    Blunder 8.5.5             :    200 (  119,   46,  35),  71.0 :  +148.6,   6.8,  100.0
    Djinn 1.021               :    200 (  119,   72,   9),  77.5 :  +208.7,   6.5,  100.0
    Glass 2.0                 :    200 (  127,   50,  23),  76.0 :  +226.9,   6.3,  100.0
    Myrddin 0.90              :    200 (  124,   61,  15),  77.3 :  +228.4,   6.3,  100.0
    Rotor 0.8                 :    200 (  131,   59,  10),  80.3 :  +231.0,   6.5,  100.0

27) MadChess 3.4       2846.3 :   2200 (+1057,=718,-425),  64.4 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (   71,  62,  67),  51.0 :   -23.4,   7.0,    0.0
    Sjeng 3.0                 :    200 (   52,  83,  65),  46.8 :   -15.6,   6.8,    1.1
    Pawny 1.2                 :    200 (   77,  77,  46),  57.8 :   +34.0,   6.8,  100.0
    Fruit 2.3                 :    200 (   68,  70,  62),  51.5 :   +36.3,   6.6,  100.0
    Marvin 3.0                :    200 (   97,  71,  32),  66.3 :   +96.1,   7.2,  100.0
    Leorik 2.3                :    200 (  104,  71,  25),  69.8 :  +115.2,   7.4,  100.0
    Blunder 8.5.5             :    200 (  103,  59,  38),  66.3 :  +133.0,   7.3,  100.0
    Djinn 1.021               :    200 (  111,  74,  15),  74.0 :  +193.1,   7.0,  100.0
    Glass 2.0                 :    200 (  126,  51,  23),  75.8 :  +211.3,   7.0,  100.0
    Myrddin 0.90              :    200 (  129,  49,  22),  76.8 :  +212.8,   6.9,  100.0
    Rotor 0.8                 :    200 (  119,  51,  30),  72.3 :  +215.4,   7.2,  100.0

28) Pawny 1.2          2812.3 :   3200 (+1106,=1120,-974),  52.1 %

    vs.                       :  games (    +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Crafty 25.3               :    200 (   19,   73, 108),  27.8 :  -162.9,   7.0,    0.0
    Spike 1.4                 :    200 (   15,   81, 104),  27.8 :  -156.6,   6.9,    0.0
    Gaviota 1.0               :    200 (   46,   72,  82),  41.0 :  -109.8,   6.9,    0.0
    Dumb 2.1                  :    400 (  101,  128, 171),  41.3 :   -57.4,   6.1,    0.0
    Sjeng 3.0                 :    400 (   99,  159, 142),  44.6 :   -49.7,   5.9,    0.0
    MadChess 3.4              :    200 (   46,   77,  77),  42.3 :   -34.0,   6.8,    0.0
    Fruit 2.3                 :    200 (   53,   86,  61),  48.0 :    +2.3,   5.5,   65.9
    Marvin 3.0                :    200 (   86,   65,  49),  59.3 :   +62.1,   6.6,  100.0
    Leorik 2.3                :    200 (   73,   74,  53),  55.0 :   +81.1,   6.8,  100.0
    Blunder 8.5.5             :    200 (   93,   63,  44),  62.3 :   +98.9,   6.7,  100.0
    Djinn 1.021               :    200 (  104,   75,  21),  70.8 :  +159.1,   6.4,  100.0
    Glass 2.0                 :    200 (  123,   62,  15),  77.0 :  +177.3,   6.2,  100.0
    Myrddin 0.90              :    200 (  125,   46,  29),  74.0 :  +178.8,   6.3,  100.0
    Rotor 0.8                 :    200 (  123,   59,  18),  76.3 :  +181.3,   6.2,  100.0

29) Fruit 2.3          2810.0 :   2200 (+962,=766,-472),  61.1 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  54,  64,  82),  43.0 :   -59.7,   5.7,    0.0
    Sjeng 3.0                 :    200 (  51,  70,  79),  43.0 :   -51.9,   5.7,    0.0
    MadChess 3.4              :    200 (  62,  70,  68),  48.5 :   -36.3,   6.6,    0.0
    Pawny 1.2                 :    200 (  61,  86,  53),  52.0 :    -2.3,   5.5,   34.1
    Marvin 3.0                :    200 (  83,  78,  39),  61.0 :   +59.8,   6.4,  100.0
    Leorik 2.3                :    200 (  99,  65,  36),  65.8 :   +78.8,   6.3,  100.0
    Blunder 8.5.5             :    200 ( 110,  56,  34),  69.0 :   +96.7,   6.3,  100.0
    Djinn 1.021               :    200 ( 114,  64,  22),  73.0 :  +156.8,   5.5,  100.0
    Glass 2.0                 :    200 ( 103,  77,  20),  70.8 :  +175.0,   5.7,  100.0
    Myrddin 0.90              :    200 ( 117,  64,  19),  74.5 :  +176.5,   5.7,  100.0
    Rotor 0.8                 :    200 ( 108,  72,  20),  72.0 :  +179.1,   5.4,  100.0

30) Marvin 3.0         2750.2 :   2200 (+697,=835,-668),  50.7 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  35,  73,  92),  35.8 :  -119.5,   6.9,    0.0
    Sjeng 3.0                 :    200 (  35,  75,  90),  36.3 :  -111.8,   6.8,    0.0
    MadChess 3.4              :    200 (  32,  71,  97),  33.8 :   -96.1,   7.2,    0.0
    Pawny 1.2                 :    200 (  49,  65,  86),  40.8 :   -62.1,   6.6,    0.0
    Fruit 2.3                 :    200 (  39,  78,  83),  39.0 :   -59.8,   6.4,    0.0
    Leorik 2.3                :    200 (  68,  94,  38),  57.5 :   +19.0,   7.0,   99.7
    Blunder 8.5.5             :    200 (  64,  99,  37),  56.8 :   +36.8,   7.3,  100.0
    Djinn 1.021               :    200 (  80,  89,  31),  62.3 :   +97.0,   7.0,  100.0
    Glass 2.0                 :    200 (  94,  60,  46),  62.0 :  +115.2,   6.6,  100.0
    Myrddin 0.90              :    200 ( 103,  66,  31),  68.0 :  +116.7,   6.8,  100.0
    Rotor 0.8                 :    200 (  98,  65,  37),  65.3 :  +119.2,   6.6,  100.0

31) Leorik 2.3         2731.2 :   2200 (+665,=777,-758),  47.9 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  34,  71,  95),  34.8 :  -138.5,   6.8,    0.0
    Sjeng 3.0                 :    200 (  35,  53, 112),  30.8 :  -130.8,   6.9,    0.0
    MadChess 3.4              :    200 (  25,  71, 104),  30.3 :  -115.2,   7.4,    0.0
    Pawny 1.2                 :    200 (  53,  74,  73),  45.0 :   -81.1,   6.8,    0.0
    Fruit 2.3                 :    200 (  36,  65,  99),  34.3 :   -78.8,   6.3,    0.0
    Marvin 3.0                :    200 (  38,  94,  68),  42.5 :   -19.0,   7.0,    0.3
    Blunder 8.5.5             :    200 (  59,  92,  49),  52.5 :   +17.8,   7.3,   99.3
    Djinn 1.021               :    200 (  90,  68,  42),  62.0 :   +77.9,   7.0,  100.0
    Glass 2.0                 :    200 ( 104,  56,  40),  66.0 :   +96.2,   7.0,  100.0
    Myrddin 0.90              :    200 (  88,  69,  43),  61.3 :   +97.7,   6.9,  100.0
    Rotor 0.8                 :    200 ( 103,  64,  33),  67.5 :  +100.2,   7.0,  100.0

32) Blunder 8.5.5      2713.3 :   2200 (+599,=795,-806),  45.3 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  23,  74, 103),  30.0 :  -156.4,   7.1,    0.0
    Sjeng 3.0                 :    200 (  35,  46, 119),  29.0 :  -148.6,   6.8,    0.0
    MadChess 3.4              :    200 (  38,  59, 103),  33.8 :  -133.0,   7.3,    0.0
    Pawny 1.2                 :    200 (  44,  63,  93),  37.8 :   -98.9,   6.7,    0.0
    Fruit 2.3                 :    200 (  34,  56, 110),  31.0 :   -96.7,   6.3,    0.0
    Marvin 3.0                :    200 (  37,  99,  64),  43.3 :   -36.8,   7.3,    0.0
    Leorik 2.3                :    200 (  49,  92,  59),  47.5 :   -17.8,   7.3,    0.7
    Djinn 1.021               :    200 (  91,  70,  39),  63.0 :   +60.1,   6.9,  100.0
    Glass 2.0                 :    200 (  80,  70,  50),  57.5 :   +78.3,   6.9,  100.0
    Myrddin 0.90              :    200 (  79,  94,  27),  63.0 :   +79.8,   6.8,  100.0
    Rotor 0.8                 :    200 (  89,  72,  39),  62.5 :   +82.4,   6.9,  100.0

33) Floyd 0.9          2653.9 :   3200 (+2048,=617,-535),  73.6 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Djinn 1.021               :    200 (   71,  61,  68),  50.8 :    +0.7,   7.6,   53.8
    Glass 2.0                 :    200 (   75,  55,  70),  51.3 :   +18.9,   7.4,   99.4
    Myrddin 0.90              :    200 (   81,  63,  56),  56.3 :   +20.4,   7.4,   99.7
    Rotor 0.8                 :    200 (   83,  60,  57),  56.5 :   +23.0,   7.5,   99.9
    Maverick 1.5              :    400 (  179, 107, 114),  58.1 :   +63.9,   6.3,  100.0
    Hermann 2.8               :    200 (   91,  52,  57),  58.5 :   +73.9,   8.8,  100.0
    Cosette 5.1               :    200 (  125,  46,  29),  74.0 :  +158.9,   8.6,  100.0
    Gaia 3.5                  :    200 (  128,  32,  40),  72.0 :  +190.6,   8.7,  100.0
    BikJump 3.1               :    200 (  136,  43,  21),  78.8 :  +195.3,   8.5,  100.0
    Sungorus 1.4              :    200 (  156,  34,  10),  86.5 :  +318.3,   8.9,  100.0
    Napoleon 1.8              :    200 (  156,  35,   9),  86.8 :  +370.8,   9.4,  100.0
    Faile 1.4                 :    200 (  185,  12,   3),  95.5 :  +659.2,  10.9,  100.0
    Rustic Alpha 3.0.0        :    200 (  191,   8,   1),  97.5 :  +725.2,  11.8,  100.0
    Walleye 1.6.0             :    200 (  195,   5,   0),  98.8 :  +799.5,  12.1,  100.0
    TSCP 1.81                 :    200 (  196,   4,   0),  99.0 :  +913.2,  13.3,  100.0

34) Djinn 1.021        2653.2 :   3200 (+781,=1125,-1294),  42.0 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  29,   50,  121),  27.0 :  -216.5,   6.5,    0.0
    Sjeng 3.0                 :    200 (   9,   72,  119),  22.5 :  -208.7,   6.5,    0.0
    MadChess 3.4              :    200 (  15,   74,  111),  26.0 :  -193.1,   7.0,    0.0
    Pawny 1.2                 :    200 (  21,   75,  104),  29.3 :  -159.1,   6.4,    0.0
    Fruit 2.3                 :    200 (  22,   64,  114),  27.0 :  -156.8,   5.5,    0.0
    Marvin 3.0                :    200 (  31,   89,   80),  37.8 :   -97.0,   7.0,    0.0
    Leorik 2.3                :    200 (  42,   68,   90),  38.0 :   -77.9,   7.0,    0.0
    Blunder 8.5.5             :    200 (  39,   70,   91),  37.0 :   -60.1,   6.9,    0.0
    Floyd 0.9                 :    200 (  68,   61,   71),  49.3 :    -0.7,   7.6,   46.2
    Glass 2.0                 :    400 ( 137,  146,  117),  52.5 :   +18.2,   6.1,   99.9
    Myrddin 0.90              :    400 ( 128,  151,  121),  50.9 :   +19.7,   6.0,   99.9
    Rotor 0.8                 :    400 ( 144,  141,  115),  53.6 :   +22.3,   6.0,  100.0
    Maverick 1.5              :    200 (  96,   64,   40),  64.0 :   +63.2,   5.5,  100.0

35) Glass 2.0          2635.0 :   3200 (+765,=986,-1449),  39.3 %

    vs.                       :  games (   +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (   8,  40,  152),  14.0 :  -234.7,   6.5,    0.0
    Sjeng 3.0                 :    200 (  23,  50,  127),  24.0 :  -226.9,   6.3,    0.0
    MadChess 3.4              :    200 (  23,  51,  126),  24.3 :  -211.3,   7.0,    0.0
    Pawny 1.2                 :    200 (  15,  62,  123),  23.0 :  -177.3,   6.2,    0.0
    Fruit 2.3                 :    200 (  20,  77,  103),  29.3 :  -175.0,   5.7,    0.0
    Marvin 3.0                :    200 (  46,  60,   94),  38.0 :  -115.2,   6.6,    0.0
    Leorik 2.3                :    200 (  40,  56,  104),  34.0 :   -96.2,   7.0,    0.0
    Blunder 8.5.5             :    200 (  50,  70,   80),  42.5 :   -78.3,   6.9,    0.0
    Floyd 0.9                 :    200 (  70,  55,   75),  48.8 :   -18.9,   7.4,    0.6
    Djinn 1.021               :    400 ( 117, 146,  137),  47.5 :   -18.2,   6.1,    0.1
    Myrddin 0.90              :    400 ( 137, 124,  139),  49.8 :    +1.5,   6.1,   59.8
    Rotor 0.8                 :    400 ( 130, 129,  141),  48.6 :    +4.1,   6.0,   75.1
    Maverick 1.5              :    200 (  86,  66,   48),  59.5 :   +45.0,   5.7,  100.0

36) Myrddin 0.90       2633.5 :   3200 (+732,=1038,-1430),  39.1 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  18,   53,  129),  22.3 :  -236.2,   6.5,    0.0
    Sjeng 3.0                 :    200 (  15,   61,  124),  22.8 :  -228.4,   6.3,    0.0
    MadChess 3.4              :    200 (  22,   49,  129),  23.3 :  -212.8,   6.9,    0.0
    Pawny 1.2                 :    200 (  29,   46,  125),  26.0 :  -178.8,   6.3,    0.0
    Fruit 2.3                 :    200 (  19,   64,  117),  25.5 :  -176.5,   5.7,    0.0
    Marvin 3.0                :    200 (  31,   66,  103),  32.0 :  -116.7,   6.8,    0.0
    Leorik 2.3                :    200 (  43,   69,   88),  38.8 :   -97.7,   6.9,    0.0
    Blunder 8.5.5             :    200 (  27,   94,   79),  37.0 :   -79.8,   6.8,    0.0
    Floyd 0.9                 :    200 (  56,   63,   81),  43.8 :   -20.4,   7.4,    0.3
    Djinn 1.021               :    400 ( 121,  151,  128),  49.1 :   -19.7,   6.0,    0.1
    Glass 2.0                 :    400 ( 139,  124,  137),  50.3 :    -1.5,   6.1,   40.2
    Rotor 0.8                 :    400 ( 125,  143,  132),  49.1 :    +2.6,   6.1,   66.3
    Maverick 1.5              :    200 (  87,   55,   58),  57.3 :   +43.5,   5.7,  100.0

37) Rotor 0.8          2630.9 :   3200 (+724,=1030,-1446),  38.7 %

    vs.                       :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Dumb 2.1                  :    200 (  14,   61,  125),  22.3 :  -238.8,   6.5,    0.0
    Sjeng 3.0                 :    200 (  10,   59,  131),  19.8 :  -231.0,   6.5,    0.0
    MadChess 3.4              :    200 (  30,   51,  119),  27.8 :  -215.4,   7.2,    0.0
    Pawny 1.2                 :    200 (  18,   59,  123),  23.8 :  -181.3,   6.2,    0.0
    Fruit 2.3                 :    200 (  20,   72,  108),  28.0 :  -179.1,   5.4,    0.0
    Marvin 3.0                :    200 (  37,   65,   98),  34.8 :  -119.2,   6.6,    0.0
    Leorik 2.3                :    200 (  33,   64,  103),  32.5 :  -100.2,   7.0,    0.0
    Blunder 8.5.5             :    200 (  39,   72,   89),  37.5 :   -82.4,   6.9,    0.0
    Floyd 0.9                 :    200 (  57,   60,   83),  43.5 :   -23.0,   7.5,    0.1
    Djinn 1.021               :    400 ( 115,  141,  144),  46.4 :   -22.3,   6.0,    0.0
    Glass 2.0                 :    400 ( 141,  129,  130),  51.4 :    -4.1,   6.0,   24.9
    Myrddin 0.90              :    400 ( 132,  143,  125),  50.9 :    -2.6,   6.1,   33.7
    Maverick 1.5              :    200 (  78,   54,   68),  52.5 :   +40.9,   5.4,  100.0

38) Maverick 1.5       2590.0 :   3200 (+1808,=636,-756),  66.4 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    400 (  114, 107, 179),  41.9 :   -63.9,   6.3,    0.0
    Djinn 1.021               :    200 (   40,  64,  96),  36.0 :   -63.2,   5.5,    0.0
    Glass 2.0                 :    200 (   48,  66,  86),  40.5 :   -45.0,   5.7,    0.0
    Myrddin 0.90              :    200 (   58,  55,  87),  42.8 :   -43.5,   5.7,    0.0
    Rotor 0.8                 :    200 (   68,  54,  78),  47.5 :   -40.9,   5.4,    0.0
    Hermann 2.8               :    200 (   74,  51,  75),  49.8 :   +10.0,   8.6,   87.7
    Cosette 5.1               :    200 (  100,  45,  55),  61.3 :   +94.9,   8.7,  100.0
    Gaia 3.5                  :    200 (  115,  46,  39),  69.0 :  +126.7,   8.2,  100.0
    BikJump 3.1               :    200 (  113,  49,  38),  68.8 :  +131.4,   8.5,  100.0
    Sungorus 1.4              :    200 (  146,  45,   9),  84.3 :  +254.4,   8.5,  100.0
    Napoleon 1.8              :    200 (  156,  32,  12),  86.0 :  +306.9,   9.0,  100.0
    Faile 1.4                 :    200 (  184,  14,   2),  95.5 :  +595.2,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  193,   7,   0),  98.3 :  +661.2,  11.6,  100.0
    Walleye 1.6.0             :    200 (  199,   1,   0),  99.8 :  +735.6,  12.3,  100.0
    TSCP 1.81                 :    200 (  200,   0,   0), 100.0 :  +849.3,  13.5,  100.0

39) Hermann 2.8        2580.0 :   2200 (+1506,=344,-350),  76.3 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   57,  52,  91),  41.5 :   -73.9,   8.8,    0.0
    Maverick 1.5              :    200 (   75,  51,  74),  50.3 :   -10.0,   8.6,   12.3
    Cosette 5.1               :    200 (   96,  53,  51),  61.3 :   +84.9,   9.2,  100.0
    Gaia 3.5                  :    200 (  109,  33,  58),  62.8 :  +116.7,   9.0,  100.0
    BikJump 3.1               :    200 (  113,  44,  43),  67.5 :  +121.4,   9.2,  100.0
    Sungorus 1.4              :    200 (  132,  50,  18),  78.5 :  +244.4,   9.5,  100.0
    Napoleon 1.8              :    200 (  147,  41,  12),  83.8 :  +296.9,  10.2,  100.0
    Faile 1.4                 :    200 (  192,   7,   1),  97.8 :  +585.2,  11.7,  100.0
    Rustic Alpha 3.0.0        :    200 (  191,   8,   1),  97.5 :  +651.2,  12.1,  100.0
    Walleye 1.6.0             :    200 (  195,   4,   1),  98.5 :  +725.6,  12.7,  100.0
    TSCP 1.81                 :    200 (  199,   1,   0),  99.8 :  +839.3,  14.0,  100.0

40) Cosette 5.1        2495.1 :   2200 (+1313,=368,-519),  68.0 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   29,  46, 125),  26.0 :  -158.9,   8.6,    0.0
    Maverick 1.5              :    200 (   55,  45, 100),  38.8 :   -94.9,   8.7,    0.0
    Hermann 2.8               :    200 (   51,  53,  96),  38.8 :   -84.9,   9.2,    0.0
    Gaia 3.5                  :    200 (   71,  48,  81),  47.5 :   +31.7,   8.6,  100.0
    BikJump 3.1               :    200 (   84,  46,  70),  53.5 :   +36.5,   8.9,  100.0
    Sungorus 1.4              :    200 (  124,  50,  26),  74.5 :  +159.5,   8.9,  100.0
    Napoleon 1.8              :    200 (  141,  45,  14),  81.8 :  +212.0,   9.1,  100.0
    Faile 1.4                 :    200 (  180,  17,   3),  94.3 :  +500.3,  11.3,  100.0
    Rustic Alpha 3.0.0        :    200 (  187,  11,   2),  96.3 :  +566.3,  11.7,  100.0
    Walleye 1.6.0             :    200 (  195,   4,   1),  98.5 :  +640.6,  12.2,  100.0
    TSCP 1.81                 :    200 (  196,   3,   1),  98.8 :  +754.3,  13.3,  100.0

41) Gaia 3.5           2463.3 :   2200 (+1269,=316,-615),  64.9 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   40,  32, 128),  28.0 :  -190.6,   8.7,    0.0
    Maverick 1.5              :    200 (   39,  46, 115),  31.0 :  -126.7,   8.2,    0.0
    Hermann 2.8               :    200 (   58,  33, 109),  37.3 :  -116.7,   9.0,    0.0
    Cosette 5.1               :    200 (   81,  48,  71),  52.5 :   -31.7,   8.6,    0.0
    BikJump 3.1               :    200 (   73,  45,  82),  47.8 :    +4.7,   8.6,   71.0
    Sungorus 1.4              :    200 (  111,  36,  53),  64.5 :  +127.7,   8.8,  100.0
    Napoleon 1.8              :    200 (  118,  39,  43),  68.8 :  +180.2,   9.0,  100.0
    Faile 1.4                 :    200 (  179,  16,   5),  93.5 :  +468.6,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  189,   7,   4),  96.3 :  +534.6,  11.4,  100.0
    Walleye 1.6.0             :    200 (  186,  10,   4),  95.5 :  +608.9,  12.1,  100.0
    TSCP 1.81                 :    200 (  195,   4,   1),  98.5 :  +722.6,  13.0,  100.0

42) BikJump 3.1        2458.6 :   2200 (+1235,=363,-602),  64.4 %

    vs.                       :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Floyd 0.9                 :    200 (   21,  43, 136),  21.3 :  -195.3,   8.5,    0.0
    Maverick 1.5              :    200 (   38,  49, 113),  31.3 :  -131.4,   8.5,    0.0
    Hermann 2.8               :    200 (   43,  44, 113),  32.5 :  -121.4,   9.2,    0.0
    Cosette 5.1               :    200 (   70,  46,  84),  46.5 :   -36.5,   8.9,    0.0
    Gaia 3.5                  :    200 (   82,  45,  73),  52.3 :    -4.7,   8.6,   29.0
    Sungorus 1.4              :    200 (  106,  43,  51),  63.8 :  +123.0,   8.9,  100.0
    Napoleon 1.8              :    200 (  130,  48,  22),  77.0 :  +175.5,   9.3,  100.0
    Faile 1.4                 :    200 (  174,  23,   3),  92.8 :  +463.8,  11.2,  100.0
    Rustic Alpha 3.0.0        :    200 (  190,   9,   1),  97.3 :  +529.8,  11.6,  100.0
    Walleye 1.6.0             :    200 (  190,   5,   5),  96.3 :  +604.2,  12.3,  100.0
    TSCP 1.81                 :    200 (  191,   8,   1),  97.5 :  +717.9,  13.0,  100.0

43) Sungorus 1.4       2335.6 :   2200 (+958,=380,-862),  52.2 %

    vs.                       :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
