Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Berserk 13                :    200 (   1,  164,  35),  41.5 :   -47.7,   6.9,    0.0
    RubiChess 20240817        :    200 (   0,  184,  16),  46.0 :   -18.2,   6.9,    0.4
    Ethereal 14.25            :    200 (   5,  179,  16),  47.3 :   -13.7,   6.6,    2.0
    rofChade 3.1              :    200 (  10,  186,   4),  51.5 :   +23.6,   6.8,  100.0
    Koivisto 9.0              :    200 (  19,  173,   8),  52.8 :   +30.2,   6.7,  100.0
    Arasan 24.2.2             :    200 (  32,  163,   5),  56.8 :   +69.3,   6.1,  100.0
    SlowChess 2.9             :    200 (  23,  171,   6),  54.3 :   +69.9,   6.7,  100.0
    Minic 3.41                :    200 (  43,  157,   0),  60.8 :  +110.6,   6.1,  100.0
    Wasp 7.00                 :    200 (  73,  124,   3),  67.5 :  +131.9,   6.1,  100.0

 7) rofChade 3.1       3626.4 :   2200 (+181,=1801,-218),  49.2 %

    vs.                       :  games (   +,    =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   0,  151,  49),  37.8 :   -97.8,   7.4,    0.0
    Komodo Dragon 3.3         :    200 (   1,  144,  55),  36.5 :   -87.0,   7.2,    0.0
    Berserk 13                :    200 (   0,  162,  38),  40.5 :   -71.3,   7.1,    0.0
    RubiChess 20240817        :    200 (   1,  175,  24),  44.3 :   -41.8,   7.3,    0.0
    Ethereal 14.25            :    200 (   7,  173,  20),  46.8 :   -37.3,   6.9,    0.0
    Rebel 16.3                :    200 (   4,  186,  10),  48.5 :   -23.6,   6.8,    0.0
    Koivisto 9.0              :    200 (   8,  187,   5),  50.8 :    +6.7,   7.2,   82.1
    Arasan 24.2.2             :    200 (  28,  166,   6),  55.5 :   +45.7,   6.9,  100.0
    SlowChess 2.9             :    200 (  32,  166,   2),  57.5 :   +46.3,   7.0,  100.0
    Minic 3.41                :    200 (  53,  145,   2),  62.8 :   +87.0,   6.6,  100.0
    Wasp 7.00                 :    200 (  47,  146,   7),  60.0 :  +108.3,   6.9,  100.0

 8) Koivisto 9.0       3619.8 :   2200 (+172,=1775,-253),  48.2 %

